,,root
TNRC6A,cnv_del,-0.00038560978
TNRC6A,cnv_amp,-0.00018999315
MAPKAPK5,mut_important,0.010321334
MAPKAPK5,cnv_del,9.1322734e-32
MAPKAPK5,cnv_amp,-2.1878257e-33
HINT3,mut_important,-0.013098282
HINT3,cnv_del,-0.04988934
HINT3,cnv_amp,-0.017264249
OR6P1,mut_important,-3.3442754e-07
OR6P1,cnv_del,6.2629624e-06
OR6P1,cnv_amp,1.024082e-06
FKRP,mut_important,0.47428674
FKRP,cnv_del,0.10404898
FKRP,cnv_amp,0.42895
ZNF233,mut_important,1.160502e-09
ZNF233,cnv_del,9.53103e-33
ZNF233,cnv_amp,5.4126534e-33
BCL7A,mut_important,7.455228e-05
BCL7A,cnv_del,-9.737318e-36
BCL7A,cnv_amp,-5.0565054e-33
ARPC5,mut_important,-0.16108978
ARPC5,cnv_del,-5.2317926e-25
ARPC5,cnv_amp,8.773579e-33
KRTAP10-12,mut_important,2.3680472e-32
KRTAP10-12,cnv_del,-9.699304e-09
KRTAP10-12,cnv_amp,3.004542e-08
KIAA0232,mut_important,0.4529011
KIAA0232,cnv_del,-2.0651213e-32
KIAA0232,cnv_amp,1.5619222e-32
MICAL1,mut_important,0.2691871
MICAL1,cnv_del,1.9433794e-32
MICAL1,cnv_amp,9.576912e-33
RAG2,mut_important,0.3873595
RAG2,cnv_del,8.8059226e-32
RAG2,cnv_amp,1.5045071e-32
SLC30A4,mut_important,0.3963391
SLC30A4,cnv_del,6.1314574e-25
SLC30A4,cnv_amp,2.0647551e-32
NOL9,mut_important,0.00017691417
NOL9,cnv_del,-0.00013858192
NOL9,cnv_amp,0.00033315152
CD164,mut_important,-6.722171e-06
CD164,cnv_del,7.725942e-34
CD164,cnv_amp,-2.405827e-32
AMY2A,mut_important,0.08575353
AMY2A,cnv_del,-0.06933915
AMY2A,cnv_amp,-0.36093053
SLK,mut_important,-9.0495305e-08
SLK,cnv_del,1.8372587e-32
SLK,cnv_amp,-4.058688e-33
SLC32A1,mut_important,0.0012169413
SLC32A1,cnv_del,-9.715929e-32
SLC32A1,cnv_amp,-8.912715e-32
TNR,mut_important,-1.0021964e-08
TNR,cnv_del,-2.569428e-32
TNR,cnv_amp,1.1070738e-32
MYBPC2,mut_important,0.10609846
MYBPC2,cnv_del,0.13035204
MYBPC2,cnv_amp,0.2417291
REG4,mut_important,-2.2278762e-06
REG4,cnv_del,-2.2662916e-06
REG4,cnv_amp,-1.9313133e-05
PODXL2,mut_important,0.7245692
PODXL2,cnv_del,-7.5397724e-32
PODXL2,cnv_amp,1.2466738e-32
SERHL2,mut_important,1.882157e-11
SERHL2,cnv_del,1.2732544e-25
SERHL2,cnv_amp,-2.5098933e-24
ARRB1,mut_important,-8.605228e-12
ARRB1,cnv_del,1.8419212e-32
ARRB1,cnv_amp,-1.0718366e-32
ZNF443,mut_important,0.66217315
ZNF443,cnv_del,-0.7906964
ZNF443,cnv_amp,-2.2802921e-28
ENO3,mut_important,9.3789275e-08
ENO3,cnv_del,-2.198599e-08
ENO3,cnv_amp,2.3597451e-08
RAD18,mut_important,-0.032393966
RAD18,cnv_del,-2.5714957e-27
