,,coef
KIAA0232,mut_important,0.0
KIAA0232,cnv_del,0.0
KIAA0232,cnv_amp,0.0
MICAL1,mut_important,0.0
MICAL1,cnv_del,0.0
MICAL1,cnv_amp,0.0
RAG2,mut_important,0.0
RAG2,cnv_del,0.0
RAG2,cnv_amp,0.0
SLC30A4,mut_important,0.0
SLC30A4,cnv_del,0.0
SLC30A4,cnv_amp,0.0
NOL9,mut_important,0.0
NOL9,cnv_del,7.7012635e-10
NOL9,cnv_amp,4.611182e-10
CD164,mut_important,0.0
CD164,cnv_del,0.0
CD164,cnv_amp,0.0
AMY2A,mut_important,0.0
AMY2A,cnv_del,3.9144692e-07
AMY2A,cnv_amp,4.9241976e-07
SLK,mut_important,0.0
SLK,cnv_del,0.0
SLK,cnv_amp,0.0
SLC32A1,mut_important,0.0
SLC32A1,cnv_del,0.0
SLC32A1,cnv_amp,0.0
TNR,mut_important,1.0911555e-14
TNR,cnv_del,0.0
TNR,cnv_amp,0.0
MYBPC2,mut_important,0.0
MYBPC2,cnv_del,0.0
MYBPC2,cnv_amp,0.0
REG4,mut_important,0.0
REG4,cnv_del,0.0
REG4,cnv_amp,0.0
PODXL2,mut_important,0.0
PODXL2,cnv_del,0.0
PODXL2,cnv_amp,0.0
SERHL2,mut_important,0.0
SERHL2,cnv_del,0.0
SERHL2,cnv_amp,0.0
ARRB1,mut_important,0.0
ARRB1,cnv_del,1.3690552e-35
ARRB1,cnv_amp,7.967825e-36
ZNF443,mut_important,0.0
ZNF443,cnv_del,0.0
ZNF443,cnv_amp,0.0
ENO3,mut_important,0.0
ENO3,cnv_del,0.0
ENO3,cnv_amp,0.0
RAD18,mut_important,4.765361e-08
RAD18,cnv_del,3.7834626e-33
RAD18,cnv_amp,0.0
DHRS3,mut_important,0.0
DHRS3,cnv_del,2.1387885e-38
DHRS3,cnv_amp,3.0907088e-37
TFAP4,mut_important,0.0
TFAP4,cnv_del,0.0
TFAP4,cnv_amp,0.0
UBR7,mut_important,0.0
UBR7,cnv_del,0.0
UBR7,cnv_amp,0.0
RELL2,mut_important,0.0
RELL2,cnv_del,0.0
RELL2,cnv_amp,0.0
RSBN1L,mut_important,0.0
RSBN1L,cnv_del,0.0
RSBN1L,cnv_amp,0.0
DRD3,mut_important,0.0
DRD3,cnv_del,1.0283048e-11
DRD3,cnv_amp,2.4624486e-12
CHST7,mut_important,0.0
CHST7,cnv_del,0.0
CHST7,cnv_amp,0.0
MUSK,mut_important,0.0
MUSK,cnv_del,0.0
MUSK,cnv_amp,1.1368762e-08
TLK2,mut_important,0.0
TLK2,cnv_del,0.0
TLK2,cnv_amp,0.0
POLDIP3,mut_important,0.0
POLDIP3,cnv_del,0.0
POLDIP3,cnv_amp,0.0
POLL,mut_important,0.0
POLL,cnv_del,1.6798876e-06
POLL,cnv_amp,0.0
FBLN7,mut_important,0.0
FBLN7,cnv_del,0.0
FBLN7,cnv_amp,0.0
SPEN,mut_important,0.0
SPEN,cnv_del,0.0
SPEN,cnv_amp,0.0
CUX2,mut_important,0.0
CUX2,cnv_del,0.0
CUX2,cnv_amp,0.0
SNX30,mut_important,0.0
SNX30,cnv_del,0.0
SNX30,cnv_amp,0.0
DIABLO,mut_important,0.0
DIABLO,cnv_del,0.0
DIABLO,cnv_amp,0.0
APOBEC3B,mut_important,0.0
APOBEC3B,cnv_del,0.0
APOBEC3B,cnv_amp,0.0
NFXL1,mut_important,0.0
NFXL1,cnv_del,0.0
NFXL1,cnv_amp,0.0
STOM,mut_important,0.0
STOM,cnv_del,1.0957377e-06
STOM,cnv_amp,2.517454e-06
MARK1,mut_important,0.0
MARK1,cnv_del,0.0
MARK1,cnv_amp,0.0
BLMH,mut_important,0.0
BLMH,cnv_del,0.0
BLMH,cnv_amp,0.0
ATRX,mut_important,0.0
ATRX,cnv_del,0.0
ATRX,cnv_amp,0.0
MPG,mut_important,0.0
MPG,cnv_del,0.0
MPG,cnv_amp,0.0
WDPCP,mut_important,0.0
WDPCP,cnv_del,0.0
WDPCP,cnv_amp,0.0
ENDOU,mut_important,0.0
ENDOU,cnv_del,0.0
ENDOU,cnv_amp,0.0
CACNA1E,mut_important,2.1542016e-13
CACNA1E,cnv_del,0.0
CACNA1E,cnv_amp,0.0
IFIT5,mut_important,0.0
IFIT5,cnv_del,0.0
IFIT5,cnv_amp,0.0
PNPLA1,mut_important,0.0
PNPLA1,cnv_del,0.0
PNPLA1,cnv_amp,0.0
MTCP1,mut_important,0.0
MTCP1,cnv_del,0.0
MTCP1,cnv_amp,0.0
RBMXL1,mut_important,0.0
RBMXL1,cnv_del,0.0
RBMXL1,cnv_amp,0.0
RELT,mut_important,0.0
RELT,cnv_del,0.0
RELT,cnv_amp,0.0
ULBP3,mut_important,0.0
ULBP3,cnv_del,0.0
ULBP3,cnv_amp,0.0
ERCC4,mut_important,0.0
ERCC4,cnv_del,0.0
ERCC4,cnv_amp,0.0
KRTAP10-9,mut_important,0.0
KRTAP10-9,cnv_del,0.0
KRTAP10-9,cnv_amp,0.0
FAM217A,mut_important,0.0
FAM217A,cnv_del,0.0
FAM217A,cnv_amp,0.0
SLMAP,mut_important,0.0
SLMAP,cnv_del,0.0
SLMAP,cnv_amp,0.0
TP53I3,mut_important,0.0
TP53I3,cnv_del,0.0
TP53I3,cnv_amp,0.0
CIC,mut_important,0.0
CIC,cnv_del,0.0
CIC,cnv_amp,0.0
RPAP1,mut_important,0.0
RPAP1,cnv_del,0.0
RPAP1,cnv_amp,0.0
EPHB4,mut_important,0.0
EPHB4,cnv_del,1.5120391e-11
EPHB4,cnv_amp,5.6641608e-11
GOLGA3,mut_important,0.0
GOLGA3,cnv_del,0.0
GOLGA3,cnv_amp,0.0
HSPBP1,mut_important,0.0
HSPBP1,cnv_del,0.0
HSPBP1,cnv_amp,0.0
CCDC138,mut_important,0.0
CCDC138,cnv_del,0.0
CCDC138,cnv_amp,0.0
BSPRY,mut_important,0.0
BSPRY,cnv_del,0.0
BSPRY,cnv_amp,0.0
SCRN1,mut_important,0.0
SCRN1,cnv_del,0.0
SCRN1,cnv_amp,0.0
MRRF,mut_important,0.0
MRRF,cnv_del,6.7936368e-09
MRRF,cnv_amp,1.414542e-08
TSEN15,mut_important,0.0
TSEN15,cnv_del,0.0
TSEN15,cnv_amp,0.0
NME9,mut_important,0.0
NME9,cnv_del,0.0
NME9,cnv_amp,0.0
UPF2,mut_important,0.0
UPF2,cnv_del,0.0
UPF2,cnv_amp,0.0
IFNA14,mut_important,0.0
IFNA14,cnv_del,5.2253035e-11
IFNA14,cnv_amp,2.7223728e-11
ZBTB45,mut_important,0.0
ZBTB45,cnv_del,0.0
ZBTB45,cnv_amp,0.0
NICN1,mut_important,0.0
NICN1,cnv_del,2.2137494e-06
NICN1,cnv_amp,4.5648397e-07
LYG2,mut_important,0.0
LYG2,cnv_del,0.0
LYG2,cnv_amp,0.0
ZNF649,mut_important,0.0
ZNF649,cnv_del,0.0
ZNF649,cnv_amp,0.0
FOXJ3,mut_important,0.0
FOXJ3,cnv_del,0.0
FOXJ3,cnv_amp,0.0
MRPS27,mut_important,0.0
MRPS27,cnv_del,2.5232458e-10
MRPS27,cnv_amp,8.312526e-10
C1D,mut_important,0.0
C1D,cnv_del,1.1305559e-15
C1D,cnv_amp,0.0
VAPB,mut_important,0.0
VAPB,cnv_del,0.0
VAPB,cnv_amp,0.0
LRRCC1,mut_important,0.0
LRRCC1,cnv_del,0.0
LRRCC1,cnv_amp,0.0
AIF1L,mut_important,0.0
AIF1L,cnv_del,0.0
AIF1L,cnv_amp,0.0
RMND5B,mut_important,0.0
RMND5B,cnv_del,0.0
RMND5B,cnv_amp,0.0
BTN3A2,mut_important,0.0
BTN3A2,cnv_del,0.00069199165
BTN3A2,cnv_amp,0.0105916215
SSBP2,mut_important,0.0
