,R-HSA-8953897,R-HSA-162582,R-HSA-1640170,R-HSA-8953854,R-HSA-392499,R-HSA-382551,R-HSA-1643685,R-HSA-73894,R-HSA-5357801,R-HSA-5205647,R-HSA-8963743,R-HSA-5653656,R-HSA-112316,R-HSA-1430728,R-HSA-1266738,R-HSA-1474165,R-HSA-397014,R-HSA-1852241,R-HSA-168256,R-HSA-1474244,R-HSA-109582,R-HSA-4839726,R-HSA-400253,R-HSA-69306,R-HSA-74160,R-HSA-1500931
MO_1130,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
MO_1241,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.013,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
MO_1244,-0.024,-0.027,0.0,0.005,0.012,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.058,0.001
MO_1316,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.038,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
MO_1447,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.027,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
P02-2035,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
P04-1243,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
P06-1696,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
P07-5036,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PM124,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PM139,-0.024,-0.028,-0.003,0.005,0.022,0.021,0.036,0.031,-0.015,0.005,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.025,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
PM161,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PR-02-1899,-0.024,-0.027,-0.003,0.005,0.011,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
PR-03-1026,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PR-2916,-0.024,-0.027,-0.003,0.005,0.01,0.021,0.036,0.033,-0.015,0.004,0.007,0.007,0.016,0.016,-0.018,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.063,0.001
PR-3048,-0.024,-0.027,-0.003,0.005,0.012,0.021,0.037,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.063,0.001
