,fanin,fanout,degree
R-HSA-177504,10.0,1.0,11.0
R-HSA-187687,21.0,1.0,22.0
R-HSA-198203,7.0,1.0,8.0
R-HSA-198725,15.0,1.0,16.0
R-HSA-198745,2.0,1.0,3.0
R-HSA-198765,2.0,1.0,3.0
R-HSA-190239,7.0,1.0,8.0
R-HSA-190241,9.0,1.0,10.0
R-HSA-190242,9.0,1.0,10.0
R-HSA-190322,10.0,1.0,11.0
R-HSA-190861,7.0,1.0,8.0
R-HSA-190873,6.0,1.0,7.0
R-HSA-6807047,0.0,1.0,1.0
R-HSA-6807062,0.0,1.0,1.0
R-HSA-191647,2.0,1.0,3.0
R-HSA-192105,13.0,1.0,14.0
R-HSA-209543,9.0,1.0,10.0
R-HSA-209560,10.0,1.0,11.0
R-HSA-193634,3.0,1.0,4.0
R-HSA-209563,2.0,1.0,3.0
R-HSA-159418,6.0,1.0,7.0
R-HSA-195399,5.0,1.0,6.0
R-HSA-193048,4.0,1.0,5.0
R-HSA-193144,2.0,1.0,3.0
R-HSA-193993,2.0,1.0,3.0
R-HSA-194002,4.0,1.0,5.0
R-HSA-196108,6.0,1.0,7.0
R-HSA-197264,9.0,1.0,10.0
R-HSA-196783,3.0,1.0,4.0
R-HSA-6811558,60.0,1.0,61.0
R-HSA-4411364,7.0,1.0,8.0
R-HSA-2046105,3.0,1.0,4.0
R-HSA-2046106,6.0,1.0,7.0
R-HSA-193648,41.0,1.0,42.0
R-HSA-205025,4.0,1.0,5.0
R-HSA-205043,12.0,1.0,13.0
R-HSA-350864,1.0,1.0,2.0
R-HSA-211916,2.0,1.0,3.0
R-HSA-211935,5.0,1.0,6.0
R-HSA-211958,5.0,1.0,6.0
R-HSA-211976,11.0,1.0,12.0
R-HSA-211979,6.0,1.0,7.0
R-HSA-211981,7.0,1.0,8.0
R-HSA-2142670,4.0,1.0,5.0
R-HSA-2142688,3.0,1.0,4.0
R-HSA-2142691,9.0,1.0,10.0
R-HSA-2142696,1.0,1.0,2.0
R-HSA-2142712,2.0,1.0,3.0
R-HSA-2142770,0.0,1.0,1.0
R-HSA-2142816,6.0,1.0,7.0
R-HSA-2162123,8.0,1.0,9.0
R-HSA-2142850,2.0,1.0,3.0
R-HSA-2160916,8.0,1.0,9.0
R-HSA-2173788,18.0,1.0,19.0
R-HSA-2173795,18.0,1.0,19.0
R-HSA-2173796,24.0,1.0,25.0
R-HSA-2206280,0.0,1.0,1.0
R-HSA-2206282,0.0,1.0,1.0
R-HSA-2206285,0.0,1.0,1.0
R-HSA-2206290,0.0,1.0,1.0
R-HSA-2206291,0.0,1.0,1.0
R-HSA-2206292,0.0,1.0,1.0
R-HSA-2206296,0.0,1.0,1.0
R-HSA-2206302,0.0,1.0,1.0
R-HSA-2206305,0.0,1.0,1.0
R-HSA-2206307,0.0,1.0,1.0
R-HSA-2206308,0.0,1.0,1.0
R-HSA-2428933,5.0,1.0,6.0
R-HSA-2466712,1.0,1.0,2.0
R-HSA-68881,1.0,1.0,2.0
R-HSA-68882,98.0,1.0,99.0
R-HSA-2559584,5.0,1.0,6.0
R-HSA-2644606,39.0,1.0,40.0
R-HSA-2644607,4.0,1.0,5.0
R-HSA-2660826,4.0,1.0,5.0
R-HSA-2691232,10.0,1.0,11.0
R-HSA-2894862,39.0,1.0,40.0
R-HSA-2980766,31.0,1.0,32.0
R-HSA-3108214,54.0,1.0,55.0
R-HSA-3232118,16.0,1.0,17.0
R-HSA-3232142,31.0,1.0,32.0
R-HSA-3899300,32.0,1.0,33.0
R-HSA-4085377,27.0,1.0,28.0
R-HSA-4090294,18.0,1.0,19.0
R-HSA-4551638,37.0,1.0,38.0
R-HSA-4570464,33.0,1.0,34.0
R-HSA-4615885,31.0,1.0,32.0
R-HSA-4655427,9.0,1.0,10.0
R-HSA-4755510,9.0,1.0,10.0
R-HSA-3248023,0.0,1.0,1.0
R-HSA-3065676,1.0,1.0,2.0
R-HSA-3065678,2.0,1.0,3.0
R-HSA-3065679,4.0,1.0,5.0
R-HSA-3229133,0.0,1.0,1.0
R-HSA-3274531,0.0,1.0,1.0
R-HSA-3282872,0.0,1.0,1.0
R-HSA-3785653,8.0,1.0,9.0
R-HSA-3814836,2.0,1.0,3.0
R-HSA-3828062,2.0,1.0,3.0
R-HSA-3858516,2.0,1.0,3.0
R-HSA-3878781,2.0,1.0,3.0
R-HSA-5357609,1.0,1.0,2.0
R-HSA-3359454,1.0,1.0,2.0
R-HSA-3359457,1.0,1.0,2.0
R-HSA-3359458,0.0,1.0,1.0
R-HSA-3359462,1.0,1.0,2.0
R-HSA-3359463,1.0,1.0,2.0
R-HSA-3359467,2.0,1.0,3.0
R-HSA-3359469,2.0,1.0,3.0
R-HSA-3359471,0.0,1.0,1.0
R-HSA-3359473,2.0,1.0,3.0
R-HSA-3359474,1.0,1.0,2.0
R-HSA-3359475,2.0,1.0,3.0
R-HSA-3359478,0.0,1.0,1.0
R-HSA-3359485,2.0,1.0,3.0
R-HSA-3311021,3.0,1.0,4.0
R-HSA-3304356,5.0,1.0,6.0
R-HSA-3315487,6.0,1.0,7.0
R-HSA-3371598,0.0,1.0,1.0
R-HSA-3371599,5.0,1.0,6.0
R-HSA-3371568,11.0,1.0,12.0
R-HSA-3642279,1.0,1.0,2.0
R-HSA-3645790,2.0,1.0,3.0
R-HSA-3656532,5.0,1.0,6.0
R-HSA-3656535,2.0,1.0,3.0
R-HSA-5628897,45.0,1.0,46.0
R-HSA-5633007,115.0,1.0,116.0
R-HSA-5633008,29.0,1.0,30.0
R-HSA-6791312,27.0,1.0,28.0
R-HSA-6796648,42.0,1.0,43.0
R-HSA-3296197,0.0,1.0,1.0
R-HSA-375276,52.0,1.0,53.0
R-HSA-375280,18.0,1.0,19.0
R-HSA-375281,3.0,1.0,4.0
R-HSA-391903,2.0,1.0,3.0
R-HSA-418038,4.0,1.0,5.0
R-HSA-419408,5.0,1.0,6.0
R-HSA-419771,6.0,1.0,7.0
R-HSA-444209,1.0,1.0,2.0
R-HSA-419812,0.0,1.0,1.0
R-HSA-420092,18.0,1.0,19.0
R-HSA-379397,0.0,1.0,1.0
R-HSA-379398,0.0,1.0,1.0
R-HSA-380287,52.0,1.0,53.0
R-HSA-380612,1.0,1.0,2.0
R-HSA-389357,14.0,1.0,15.0
R-HSA-389359,8.0,1.0,9.0
R-HSA-389957,13.0,1.0,14.0
R-HSA-389960,13.0,1.0,14.0
R-HSA-390450,6.0,1.0,7.0
R-HSA-389599,4.0,1.0,5.0
R-HSA-389887,4.0,1.0,5.0
R-HSA-390247,5.0,1.0,6.0
R-HSA-392451,17.0,1.0,18.0
R-HSA-418217,15.0,1.0,16.0
R-HSA-399719,17.0,1.0,18.0
R-HSA-399710,2.0,1.0,3.0
R-HSA-434316,6.0,1.0,7.0
R-HSA-416550,5.0,1.0,6.0
R-HSA-416572,14.0,1.0,15.0
R-HSA-4608870,40.0,1.0,41.0
R-HSA-5099900,8.0,1.0,9.0
R-HSA-5140745,3.0,1.0,4.0
