,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
DIABLO,0.0,2.0,0.0,-0.056590393,-0.09194915
APOBEC3B,0.0,1.0,0.0,-0.056590393,0.06805289
NFXL1,0.0,0.0,0.0,-0.056590393,0.22805494
STOM,1.4217163e-06,1.0,1.4217163e-06,-0.049729664,0.07296784
MARK1,0.0,0.0,0.0,-0.056590393,0.22805494
BLMH,0.0,1.0,0.0,-0.056590393,0.06805289
ATRX,0.0,0.0,0.0,-0.056590393,0.22805494
MPG,0.0,3.0,0.0,-0.056590393,-0.2519512
WDPCP,0.0,0.0,0.0,-0.056590393,0.22805494
ENDOU,0.0,0.0,0.0,-0.056590393,0.22805494
CACNA1E,2.1542016e-13,1.0,2.1542016e-13,-0.056590393,0.06805289
IFIT5,0.0,0.0,0.0,-0.056590393,0.22805494
PNPLA1,0.0,0.0,0.0,-0.056590393,0.22805494
MTCP1,0.0,0.0,0.0,-0.056590393,0.22805494
RBMXL1,0.0,0.0,0.0,-0.056590393,0.22805494
RELT,0.0,0.0,0.0,-0.056590393,0.22805494
ULBP3,0.0,1.0,0.0,-0.056590393,0.06805289
ERCC4,0.0,5.0,0.0,-0.056590393,-0.57195526
KRTAP10-9,0.0,0.0,0.0,-0.056590393,0.22805494
FAM217A,0.0,0.0,0.0,-0.056590393,0.22805494
SLMAP,0.0,0.0,0.0,-0.056590393,0.22805494
TP53I3,0.0,1.0,0.0,-0.056590393,0.06805289
CIC,0.0,0.0,0.0,-0.056590393,0.22805494
RPAP1,0.0,0.0,0.0,-0.056590393,0.22805494
EPHB4,4.1521207e-11,2.0,4.1521207e-11,-0.05659019,-0.091949
GOLGA3,0.0,0.0,0.0,-0.056590393,0.22805494
HSPBP1,0.0,0.0,0.0,-0.056590393,0.22805494
CCDC138,0.0,0.0,0.0,-0.056590393,0.22805494
BSPRY,0.0,0.0,0.0,-0.056590393,0.22805494
SCRN1,0.0,0.0,0.0,-0.056590393,0.22805494
MRRF,7.351783e-09,1.0,7.351783e-09,-0.056554917,0.0680783
TSEN15,0.0,1.0,0.0,-0.056590393,0.06805289
NME9,0.0,0.0,0.0,-0.056590393,0.22805494
UPF2,0.0,2.0,0.0,-0.056590393,-0.09194915
IFNA14,7.947652e-11,2.0,7.947652e-11,-0.05659001,-0.091948874
ZBTB45,0.0,0.0,0.0,-0.056590393,0.22805494
NICN1,2.6702335e-06,1.0,2.6702335e-06,-0.043704744,0.07728404
LYG2,0.0,0.0,0.0,-0.056590393,0.22805494
ZNF649,0.0,0.0,0.0,-0.056590393,0.22805494
FOXJ3,0.0,0.0,0.0,-0.056590393,0.22805494
MRPS27,1.0835746e-09,3.0,1.0835746e-09,-0.056585163,-0.25194743
C1D,1.1305595e-15,1.0,1.1305595e-15,-0.056590393,0.06805289
VAPB,0.0,1.0,0.0,-0.056590393,0.06805289
LRRCC1,0.0,0.0,0.0,-0.056590393,0.22805494
AIF1L,0.0,0.0,0.0,-0.056590393,0.22805494
