ind,Cellular responses to external stimuli,Signal Transduction,Cell Cycle,Metabolism of RNA,Metabolism of proteins,Transport of small molecules,Disease,DNA Repair,Programmed Cell Death,Mitophagy,Digestion and absorption,Vesicle-mediated transport,Neuronal System,Metabolism,Developmental Biology,Reproduction,Muscle contraction,Organelle biogenesis and maintenance,Immune System,Extracellular matrix organization,Hemostasis,Chromatin organization,Circadian Clock,DNA Replication,Gene expression (Transcription),Cell-Cell communication
PM139,-1.633823e-05,-4.528458e-05,-1.9607404e-08,1.9408064e-06,0.00036591935,1.9095954e-07,5.5517626e-06,3.6358858e-06,1.1251149e-09,8.4769184e-05,-0.0,-4.05824e-06,2.8808026e-08,-3.1299273e-06,2.0131405e-05,1.677507e-10,-3.2806926e-07,8.913989e-08,-7.3103525e-05,3.052692e-06,-6.740889e-08,4.1402483e-05,-4.1621257e-05,3.171587e-07,-0.00011550289,-0.0
PM161,1.0125959e-06,-2.0268392e-06,-2.0944858e-06,-6.127574e-11,1.687313e-05,-0.0,-5.051593e-10,1.0474207e-09,1.1255118e-09,0.0,-0.0,-4.1873873e-09,9.446552e-07,-0.0,-2.570922e-07,0.0,-0.0,8.047954e-11,7.6569e-07,2.1424489e-07,1.1830292e-10,0.0,0.0,0.0,-1.9058174e-05,-0.0
PR-02-1899,-1.1752646e-06,4.7107706e-06,-2.7204547e-07,1.0024678e-05,-0.0001039909,4.4783613e-07,2.6714444e-05,-1.0638215e-05,1.1210944e-07,0.0,1.9871371e-09,-2.1743544e-05,5.6300873e-08,-1.1864434e-05,-5.7367355e-09,0.0,-0.0,-2.4135743e-10,-1.4014304e-05,-9.735585e-06,4.257473e-09,0.0,0.0,1.665631e-09,-3.406081e-05,-0.0
PR-03-1026,-0.0,2.7019566e-06,-0.0,-3.032769e-10,2.0839752e-07,-0.0,-5.00045e-10,1.0368165e-09,5.713421e-11,0.0,-0.0,-0.0,-0.0,2.7779952e-06,-0.0,0.0,-2.6538828e-08,-0.0,1.0414815e-08,-9.389823e-10,1.1710523e-10,0.0,0.0,0.0,-4.7885214e-07,-0.0
PR-2916,2.4967275e-10,4.576533e-05,1.6692786e-07,1.3202667e-08,-0.00015970207,-2.388359e-08,1.0216112e-05,-0.00053538516,5.7708702e-11,0.0,-0.0,0.0010167742,-4.022157e-09,2.4917708e-05,-7.629745e-05,0.0,-8.4142334e-07,8.04658e-10,-5.78969e-07,-2.494084e-05,-2.2225325e-07,-1.4721932e-05,0.0,2.7765115e-10,-0.00020922424,-0.0
PR-3048,1.997143e-09,4.385783e-05,2.6504483e-09,-6.5175695e-06,-0.0001031922,2.6700292e-07,-0.00014720713,2.5759067e-07,5.7701795e-11,0.0,-0.0,8.529324e-08,-4.076517e-09,2.5338728e-05,-2.5001078e-05,0.0,-1.9242798e-09,-0.0,-3.702828e-06,-2.4874997e-05,1.5150205e-07,-1.7740549e-05,0.0,0.0,-0.0002432281,-0.0
PRAD-01115249-SM-6VZ7K,-2.8208147e-08,-4.3299864e-05,-0.00034590808,-1.5638324e-07,-1.9804174e-05,-2.2986773e-08,-2.3683836e-07,0.00015256832,7.471987e-09,-7.401202e-05,-0.0,-2.0966374e-06,3.4730813e-10,1.21442e-07,-3.2953107e-05,0.0,1.2094833e-08,8.045191e-11,-2.3102173e-06,-1.205645e-08,-6.0538474e-07,3.0573674e-10,0.0,0.0,-3.52118e-06,-2.1276889e-10
PRAD-6115381.0-SM-7LGU3,-0.0,4.8964606e-09,-0.00030709425,3.0633086e-11,-2.5893755e-06,-0.0,-5.677104e-07,1.0472572e-09,-5.7767252e-08,0.0,-0.0,-0.0,-0.0,3.9723423e-06,-4.651189e-05,0.0,-0.0,3.218679e-10,1.6700007e-08,-6.2461396e-08,1.1828445e-10,0.0,0.0,0.0,1.3205921e-05,-0.0
PRAD-6115398.0-SM-7LGUK,9.784219e-07,-0.000237832,9.4368894e-05,-3.7374845e-09,1.4781131e-06,-5.952778e-10,-5.809821e-06,-2.5033729e-05,1.0676975e-09,0.0,-0.0,6.4340406e-07,-0.0,3.777667e-05,0.001680728,0.0,-0.0,-0.0,5.228239e-06,-3.3468528e-08,0.0,3.706301e-05,0.0,0.0,2.919756e-05,-4.921529e-10
PRAD-6115402.0-SM-7LGUP,-0.0,0.0,-0.0,-6.132401e-11,0.0,-0.0,-0.0,1.4151318e-08,5.7764026e-11,0.0,-0.0,-0.0,-7.759225e-09,-3.9635784e-09,2.634591e-06,0.0,-0.0,-0.0,-3.97459e-05,1.7223616e-08,1.1839613e-10,3.519951e-09,0.0,0.0,-7.0916506e-08,-0.0
