ind,Cellular responses to external stimuli,Signal Transduction,Cell Cycle,Metabolism of RNA,Metabolism of proteins,Transport of small molecules,Disease,DNA Repair,Programmed Cell Death,Mitophagy,Digestion and absorption,Vesicle-mediated transport,Neuronal System,Metabolism,Developmental Biology,Reproduction,Muscle contraction,Organelle biogenesis and maintenance,Immune System,Extracellular matrix organization,Hemostasis,Chromatin organization,Circadian Clock,DNA Replication,Gene expression (Transcription),Cell-Cell communication
TCGA-HC-7075,-0.0,-2.1360581e-06,6.6170867e-07,-6.1265513e-11,-5.570886e-10,-0.0,-4.283036e-07,1.047246e-09,5.7708924e-11,0.0,-0.0,1.0466721e-09,-1.8282603e-11,6.3379e-07,-0.00016079964,0.0,-0.0,-0.0,9.012648e-07,-1.3548966e-10,-9.817505e-09,0.0,0.0,0.0,2.2426173e-06,-0.0
TCGA-HC-7748,-0.0,0.0,-0.0,5.5744254e-09,6.8255765e-08,-0.0,-6.514607e-08,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-0.0,8.452383e-10,-6.501877e-09,0.0,-0.0,-0.0,-0.0,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
TCGA-HC-A4ZV,6.5531167e-06,-1.7874889e-05,2.926926e-06,-3.31359e-06,-8.551758e-07,1.4348324e-06,-2.5747273e-08,1.0467763e-09,5.7683046e-11,0.0,-0.0,0.00018342462,8.954457e-10,2.0449852e-05,-1.8474781e-06,0.0,-0.0,-9.169023e-09,-2.534081e-07,9.0737355e-09,1.1823013e-10,6.1528067e-07,0.0,0.0,-4.3528526e-05,-0.0
TCGA-HC-A6AN,-0.0,3.7259701e-06,-0.0,-6.0922045e-11,3.409018e-10,-9.618293e-10,-5.022434e-10,1.0413749e-09,5.73854e-11,0.0,-0.0,-0.0,-7.690185e-09,-0.0,2.6306348e-06,0.0,-3.6634226e-08,-0.0,-0.0,1.711072e-08,1.1762007e-10,1.9281483e-06,0.0,0.0,0.0,-0.0
TCGA-HC-A8D0,-0.0,1.15265975e-05,-0.0,1.8289084e-10,2.9422844e-09,-0.0,-1.5077584e-09,1.0420854e-09,0.0,0.0,-0.0,4.0369096e-06,3.6385023e-11,-0.0,-0.0,0.0,-0.0,-0.0,-1.3738909e-08,-1.34822e-10,-1.656279e-06,0.0,0.0,0.0,-1.7874736e-07,-0.0
TCGA-HC-A8D1,5.741672e-09,1.2765555e-06,-3.719467e-07,-6.1256736e-11,-7.132468e-05,-0.0,-5.050026e-10,3.3926954e-05,5.7700657e-11,0.0,-0.0,-0.0,-2.7237173e-09,2.4734064e-07,-1.8323612e-06,2.8574753e-08,-0.0,-0.0,2.0891515e-07,-1.3547025e-10,3.547987e-10,-5.6953004e-06,0.0,0.0,-0.00052077044,-0.0
TCGA-J4-A67K,3.1595744e-05,-2.685022e-05,-0.00024516252,-6.125469e-11,4.1731422e-08,-1.487817e-10,-1.1604573e-06,-7.7466284e-05,5.1928856e-10,0.0,1.1626676e-08,-5.232436e-10,-6.978699e-07,3.1895205e-08,1.8292407e-06,2.2422885e-08,-2.6801047e-08,-1.2494179e-07,6.7812994e-07,1.3546572e-10,-5.0852784e-09,8.1203666e-07,0.0,8.922443e-06,-0.00049815123,3.1915331e-10
TCGA-J4-A67O,-0.0,5.262944e-08,-0.0,-6.125742e-11,0.0,-0.0,-5.0500826e-10,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.1832961e-09,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
TCGA-J4-A67Q,-0.0,0.0,-0.0,-6.125742e-11,0.0,4.240467e-09,-5.0500826e-10,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,-5.577913e-10,-0.0
TCGA-J4-A6G1,-0.0,0.0,-0.0,-6.124531e-11,0.0,-0.0,-5.049084e-10,1.0469006e-09,5.768989e-11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,3.217583e-10,-0.0,-1.3544497e-10,1.1824418e-10,-1.4661192e-05,0.0,0.0,0.00011271737,-0.0
TCGA-J9-A8CL,-1.4987835e-09,-5.9354243e-05,3.914763e-07,3.1567357e-08,-3.340756e-07,-1.1159497e-05,6.417627e-06,0.0047337944,-5.008727e-08,0.0,-0.0,2.0085106e-06,-3.777226e-08,6.334627e-06,-2.652133e-07,1.6786493e-10,-0.0,-0.0,3.7080126e-06,-9.488971e-10,1.6047137e-07,5.2811715e-06,0.0,-8.333689e-10,0.0003681242,-4.923585e-10
TCGA-KC-A7F3,-0.0,2.2941213e-05,-0.0,-6.1166815e-11,-3.730759e-08,-0.0,-2.856842e-05,1.0455588e-09,5.7615954e-11,0.0,-0.0,3.998673e-05,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3527138e-10,1.1809263e-10,1.2853049e-07,0.0,0.0,-2.1677126e-06,-0.0
TCGA-KK-A6E7,-2.2466982e-09,-0.00015970528,-3.928609e-08,1.4456312e-08,0.00016764094,-3.176534e-08,-1.0215501e-05,1.0722056e-06,-3.684116e-08,3.4976044e-06,8.73142e-10,-1.7075423e-07,-0.0,3.3176818e-07,2.2075114e-05,0.0,8.2465923e-10,-0.0,1.174057e-07,6.880401e-06,-4.0333925e-06,-2.2457136e-05,-5.315464e-05,-6.5237664e-09,-0.00041816675,4.3816377e-07
TCGA-KK-A6E8,-0.0,-6.310924e-05,1.1186961e-08,-6.1251296e-11,-2.6271343e-07,-7.438672e-11,-1.0296089e-06,5.2350146e-09,5.7695532e-11,0.0,-0.0,-3.191609e-08,-0.0,1.28989595e-05,-3.2662163e-05,1.515278e-08,-0.0,-0.0,-2.2956278e-06,0.00022272256,1.1825574e-10,-1.1338992e-05,0.0,0.0,0.00011272839,-4.920007e-10
TCGA-KK-A7AZ,-1.2482586e-09,-8.140174e-05,-1.8614782e-07,-6.1260115e-11,-1.3154702e-08,1.4216605e-06,3.5498592e-06,-3.126958e-05,5.770384e-11,0.0,-0.0,-0.00034061816,-0.0,3.1111787e-05,-1.7249855e-07,0.0,-0.0,9.655082e-10,-1.3825451e-06,-1.3547771e-10,1.1827277e-10,0.0,0.0,0.0,-9.650772e-06,-4.9207155e-10
TCGA-KK-A8I9,-0.0,2.6256797e-05,-0.00034589143,6.9080556e-06,1.7238578e-06,-9.806326e-06,1.6066988e-05,1.17082855e-05,7.471684e-09,0.0,-0.0,-4.991542e-07,-0.0,1.2230627e-05,-2.2265124e-06,0.0,9.895371e-09,-0.0,-1.1409423e-05,-1.5776921e-05,-9.732594e-08,-1.088073e-06,0.0,0.0,-0.0002297916,-6.3961054e-09
TCGA-KK-A8IB,-3.7223383e-08,-1.2270307e-05,-0.0,6.917749e-06,1.2863494e-10,-0.0,8.293688e-06,-9.637217e-06,5.7743053e-11,0.0,-0.0,-5.974796e-07,-0.0,-1.3236082e-05,-0.0,0.0,-0.0,8.05137e-11,6.7312476e-07,-1.3556979e-10,-3.5624296e-08,0.0,0.0,0.0,-3.281628e-05,-0.0
TCGA-KK-A8IK,-1.2482555e-09,-0.00012574674,6.567699e-10,1.4702391e-08,-1.645105e-06,-0.0,-1.7524515e-07,-6.3689295e-05,5.77037e-11,0.0,-0.0,-3.1357376e-05,-3.6561892e-11,-1.1122019e-07,3.3160947e-07,0.0,8.247185e-10,-0.0,-2.3234327e-06,-1.354774e-10,-2.3772767e-08,0.0,0.0,0.0,-1.5505011e-05,-2.9431126e-08
TCGA-V1-A9OA,-0.0,-6.119702e-09,-0.0,-6.125742e-11,0.0,-0.0,-1.8685306e-08,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-0.0,-1.2829828e-07,-3.8246334e-10,1.6775972e-10,-0.0,-0.0,-0.0,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
TCGA-V1-A9OX,-0.0,0.0,-0.0,6.919233e-06,-1.586838e-09,-0.0,8.317203e-06,-1.0658552e-05,5.7755443e-11,0.0,1.9890758e-09,-0.0,-0.0,-1.092035e-05,-0.0,0.0,-0.0,-0.0,-0.0,-1.3559887e-10,1.1837853e-10,0.0,0.0,0.0,-3.460546e-05,-0.0
TCGA-V1-A9OY,1.970871e-06,4.5657267e-05,5.8945966e-07,-3.0352817e-07,1.6159918e-06,1.1175218e-05,1.4778377e-05,-1.36336985e-05,5.771833e-11,0.0,-0.0,1.0100811e-05,3.1085493e-10,3.078283e-05,-0.00010295088,-3.0765026e-09,-2.7910055e-08,-1.8703372e-07,5.0370684e-08,-1.513639e-05,4.7320986e-10,-1.070442e-09,0.0,-4.180458e-06,-0.00012286469,-0.0
TCGA-V1-A9Z9,3.1117317e-05,-8.647718e-05,1.6882788e-05,-2.7000708e-06,3.5923338e-07,-0.0,2.6084374e-05,-5.597482e-07,5.7708432e-11,0.0,1.9874569e-09,-4.226984e-05,-1.8282447e-11,-5.3540894e-06,-4.538488e-06,0.0,-4.5352244e-06,-4.1386185e-05,-3.2393448e-06,-1.5133794e-05,1.1236807e-08,-1.3760464e-09,0.0,0.0,-6.522111e-05,-0.0
TCGA-VN-A88O,-0.0,0.0,-0.0,-6.068744e-11,0.0,-0.0,7.2649923e-06,1.0373645e-09,5.716441e-11,0.0,-0.0,5.183981e-09,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3421124e-10,1.1716712e-10,0.0,0.0,0.0,5.5260125e-09,-0.0
TCGA-VN-A943,-1.7476801e-09,0.000106750536,2.5596116e-06,4.288498e-09,1.2113858e-06,-0.0,3.944555e-07,3.0421873e-07,-1.7312324e-10,0.0,-0.0,-0.0,-0.0,2.741414e-06,-3.9436372e-07,0.0,-0.0,-0.0,-1.484019e-06,6.315857e-06,9.4506326e-08,-2.2587381e-05,0.0,-4.0823757e-06,-0.00032299836,-0.0
TCGA-XK-AAJP,-0.0,-8.6261214e-05,2.664181e-07,-6.1228564e-11,-6.116998e-07,4.535906e-09,-5.0477034e-10,0.00019875834,5.767412e-11,0.0,-0.0,1.0101268e-06,-0.0,-2.7533562e-05,5.367255e-06,1.570609e-08,-0.0,-0.0,-2.830688e-06,-1.3540793e-10,4.2556265e-09,0.0,0.0,0.0,-1.0192179e-05,-1.06339056e-10
TCGA-YL-A8HL,1.0106705e-06,-2.0286811e-06,-2.09264e-06,-6.125742e-11,1.9752609e-07,-0.0,-5.0500826e-10,1.0471076e-09,1.1251754e-09,0.0,-0.0,-0.0,-0.0,-2.7563667e-07,-0.0,0.0,2.7489477e-10,-0.0,7.7966064e-07,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,2.130205e-06,-0.0
TCGA-ZG-A9LM,-1.7584525e-06,2.257828e-06,-3.0360368e-07,7.152252e-07,-5.4759136e-07,-0.0,0.00025397819,6.284888e-05,1.1250051e-09,0.0,-0.0,-0.0002016988,-2.924387e-10,1.1372072e-06,2.2660197e-05,0.0,-0.0,-0.0,3.4599598e-06,-1.3545125e-10,1.1824966e-10,0.0,0.0,-2.7095336e-06,1.5861182e-06,-0.0
TCGA-ZG-A9LN,5.837206e-07,-0.00012086257,0.00013639271,-1.172895e-07,0.00033861407,-4.114424e-08,-5.9849685e-07,6.301048e-05,5.7707287e-11,0.0,-0.0,-7.992336e-06,-1.8464905e-09,-7.993224e-06,-4.7621623e-07,0.0,3.7114642e-09,0.0001713935,-2.2669046e-06,1.9916415e-08,1.1827983e-10,1.513621e-08,0.0,-2.710225e-06,0.0005460395,-4.069808e-08
TCGA-ZG-A9MC,-1.5427279e-06,-2.840106e-05,-7.828931e-07,-1.5644824e-07,2.2271726e-07,2.976871e-10,1.0962747e-07,2.0949924e-09,5.772272e-11,0.0,-0.0,-1.9420409e-07,3.6573945e-11,-4.8329973e-08,-1.5112909e-07,0.0,3.180063e-06,1.1678424e-07,-4.8270092e-08,-9.486543e-10,3.5138502e-08,3.058638e-10,0.0,0.0,-1.0232573e-05,-4.023003e-08
TP_2034,-3.5970242e-08,1.0944431e-05,0.00013788152,-1.7530333e-08,-4.1874554e-07,-0.0,-5.4574235e-07,0.004711932,5.773658e-11,0.0,-0.0,-3.839637e-09,-0.0,-2.9779037e-06,-6.123155e-09,0.0,-0.0,-0.0,-5.033399e-07,3.6599737e-09,4.0235553e-09,0.0,0.0,-4.1667791e-10,-9.170114e-07,-0.0
01-087MM_BONE,-3.5988915e-08,-4.3762466e-06,7.711363e-08,-3.7409285e-09,-5.002504e-07,2.6737707e-08,-9.709146e-06,1.9393399e-08,5.7766555e-11,0.0,-0.0,-6.984782e-10,-0.0,-2.8574195e-05,1.8601081e-06,0.0,-0.0,-2.5840916e-06,-7.03936e-07,6.062435e-08,1.184013e-10,3.060961e-10,0.0,1.2923721e-08,1.3619357e-05,-0.0
01-095N1_LN,-5.3905914e-08,-5.403452e-05,-2.813751e-10,-1.0869869e-08,-1.4092456e-06,-1.4840816e-06,-5.0485387e-08,1.0467875e-09,7.498876e-10,0.0,-1.0133686e-09,-4.7707357e-07,3.9961433e-06,-1.5258559e-07,7.918471e-05,-3.354169e-10,-1.2352743e-07,-0.0,-7.491917e-09,-1.488244e-06,1.1823141e-10,-1.1337883e-05,0.0,0.0,0.000112534006,-0.0
08-093J1_LN,2.4972637e-09,-0.00038519542,-1.4547149e-07,8.791863e-06,-0.00015396567,-1.9609587e-07,5.660711e-05,-6.782348e-07,-5.6335796e-08,3.5095225e-06,1.2745608e-08,-3.2549644e-06,-3.9389036e-08,2.0254187e-05,2.2791923e-05,1.6781729e-10,-2.6123963e-09,1.7022174e-06,5.7527923e-06,-3.8067752e-05,-1.3863348e-06,3.709871e-06,0.0,-2.597304e-05,0.00050788315,-0.0
10362,1.2526368e-06,0.0016826048,1.5797683e-06,9.007099e-09,1.9098234e-05,1.117487e-05,0.0005596723,-0.00024092813,-1.2986049e-08,0.0,-0.0,-7.484593e-08,7.9191345e-08,6.215795e-06,-4.290019e-06,0.0,-0.0,2.1728429e-08,7.7564783e-07,-4.065172e-10,1.1829722e-10,7.653473e-06,0.0,3.4227472e-05,-1.5956275e-05,-0.0
AAPC-IP_LG-069-Tumor-SM-3NC72,-0.0,0.00038907197,-0.0,-6.125612e-11,0.0,-0.0,-1.0049451e-07,1.0470853e-09,5.7700074e-11,0.0,-0.0,1.2558138e-07,-0.0,-1.5124996e-09,8.782701e-06,0.0,-0.0,-0.0,-0.0,6.6379746e-09,1.1826505e-10,0.0,0.0,0.0,-8.602688e-05,-0.0
AAPC-STID0000002909-Tumor-SM-2XTZ4,-0.0,0.0,1.5973332e-09,-6.134909e-11,1.1156971e-09,-2.2724175e-08,-5.05764e-10,-1.25840955e-08,5.778765e-11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3567449e-10,1.1844455e-10,-1.3869685e-06,0.0,0.0,-2.6855947e-05,-0.0
AAPC-STID0000003057-Tumor-SM-2XTZT,-1.9423724e-05,-0.0020437487,0.00010842952,1.1193673e-07,4.7999606e-06,2.5834504e-07,-0.00064426195,0.00023312669,5.7695525e-11,0.0,5.017708e-11,0.00024956546,1.654557e-07,3.7067617e-05,0.0014746796,0.0,-0.0001622746,-6.508599e-06,1.7926719e-05,-1.7609566e-09,-7.356689e-07,0.0,-0.00010323364,0.0,-0.00015030525,-0.0
AAPC-STID0000007180-Tumor-SM-2XU14,-1.9389967e-05,-0.00053068704,8.903222e-05,7.566516e-07,0.0010360715,5.3093772e-05,4.8804e-06,-2.6072976e-07,4.855564e-08,0.0,-0.0,0.00026749648,-1.0607993e-06,2.8779985e-05,-0.00011287066,0.0,-4.0437018e-07,-6.492998e-06,-0.0011888,1.8546082e-07,-7.8778015e-07,6.3259733e-07,0.0,1.8045009e-09,-5.807555e-05,-0.0
AAPC-STID0000012110-Tumor-SM-2XU1J,-1.506164e-05,4.497881e-05,-1.895507e-05,-8.156799e-07,0.001034647,4.4378074e-05,4.095805e-06,-0.0001044166,5.7703942e-11,0.0,-0.0,0.00024678503,7.49522e-10,2.8563245e-06,-6.858685e-05,-2.516511e-09,-5.156437e-06,-6.5101926e-06,4.821495e-07,-4.173399e-06,-7.8131126e-07,7.1992204e-06,-0.0001032487,5.303255e-06,-0.00016605148,-0.0
AAPC-STID0000017088-Tumor-SM-2XU1V,2.495522e-10,-2.7235253e-06,1.3682811e-05,-1.2837145e-06,-1.6757636e-05,2.2801161e-07,1.793658e-06,0.00015242574,5.768084e-11,0.0,-0.0,-7.750148e-06,-1.8273705e-11,-2.4374253e-07,-7.8377184e-08,0.0,1.3739865e-09,-0.0,3.4697713e-08,-1.7605083e-09,1.1822562e-10,-1.8036999e-05,0.0,0.0,-1.0032223e-05,-0.0
AAPC-STID0000021532-Tumor-SM-3RVW5,-1.0484103e-08,2.7457603e-05,0.0001084296,8.1827494e-07,3.756906e-06,8.768611e-06,-1.5149082e-09,0.00023291483,5.769686e-11,0.0,-4.0142594e-11,2.0964646e-05,-0.0,3.132826e-05,-8.423566e-05,1.1183121e-10,-0.0,-6.5081867e-06,-0.0010744416,-9.74116e-06,-9.460677e-10,-2.6903956e-08,0.0,0.0,-0.00014170658,-0.0
AAPC-STID0000021537-Tumor-SM-3RVW7,1.2904221e-06,1.2820486e-05,8.628467e-05,-1.6120005e-06,0.0009638386,2.9957562e-07,-0.00012279909,-5.152935e-05,-5.021098e-09,0.0,-0.0,0.00024269706,-2.6146318e-09,3.3780263e-05,-5.719713e-05,1.1186399e-10,-3.7118812e-09,8.0472873e-10,-0.0010753771,-1.7615135e-09,-7.4205275e-07,1.0723299e-05,-0.00010326628,-1.6563345e-07,-8.067851e-05,-0.0
AAPC-STID0000021584-Tumor-SM-2XTZ6,-2.3464608e-08,-9.122009e-05,1.9325498e-05,6.114658e-05,0.00031427355,2.0278448e-07,1.00550305e-05,-0.00011647691,-2.4359807e-07,0.0,-0.0,0.0002469569,-1.0627366e-06,2.7435297e-05,-1.3928735e-05,-1.06799645e-08,-5.152684e-06,-6.509123e-06,-0.0013418966,-3.780593e-05,-7.772007e-07,-6.8093536e-06,-0.00010323684,8.922363e-06,2.7970187e-05,-0.0
AAPC-STID0000021600-Tumor-SM-3RVWL,-2.9956655e-09,-3.792962e-06,0.00010867221,-1.3372392e-07,2.7039869e-06,2.7027187e-07,-1.2377657e-06,1.677977e-06,-2.9779412e-07,0.0,-4.0145373e-11,0.00024592673,3.8388095e-10,4.3314103e-05,-1.9932304e-05,1.11838955e-10,-6.872316e-10,4.022743e-10,-0.0010623399,-9.743731e-06,-7.53122e-07,-1.8069704e-05,-4.1623174e-05,-9.526026e-06,-4.4500243e-06,-0.0
AAPC-STID0000021611-Tumor-SM-2XU18,2.4968683e-10,1.0224238e-05,2.650915e-09,-2.6913517e-06,1.3810524e-05,1.9398139e-07,1.1412769e-05,2.7858206e-07,5.7711957e-11,0.0,-0.0,4.8847264e-09,-6.033576e-10,1.6890091e-07,-2.5078163e-05,0.0,-6.8736383e-10,3.883981e-06,-8.810609e-09,-1.5136346e-05,-7.313834e-07,-1.47224555e-05,0.0,0.0,-0.00020619552,-0.0
AAPC-STID0000021614-Tumor-SM-2XU1O,-1.959258e-05,-0.00018887088,-8.885506e-06,-1.2390954e-06,0.0009350785,2.534032e-07,1.1465599e-05,-5.1749175e-06,-5.0724687e-09,0.0,1.2879442e-08,0.00025610885,-9.047933e-07,4.3871776e-05,-0.0001721713,0.0,-0.00016435915,0.00016993535,-0.00128868,1.8178638e-07,2.2293352e-06,-1.7593964e-05,-0.00014588705,-1.0733679e-05,0.00059999013,-0.0
MO_1012,4.78742e-07,0.0001080345,-0.0003371106,-6.5190256e-06,-0.0007123426,-2.6629275e-08,-8.457115e-05,0.00011608082,5.7692993e-11,-3.3637214e-06,-4.8268234e-09,-0.00012191933,-5.9526343e-07,-3.311816e-05,0.0002758678,2.2923863e-09,-2.5231708e-07,-5.717606e-05,-0.00015909216,9.253149e-06,4.6732612e-07,-2.1928006e-05,1.4845782e-06,-0.00015509575,0.000108121756,-0.0
MO_1013,-0.0,-0.000103810096,3.2512169e-06,3.0701032e-11,-2.148283e-07,-1.6107082e-08,3.545177e-05,1.0495801e-09,-2.21807e-08,0.0,-0.0,6.9933664e-10,3.2432332e-09,9.388692e-06,-7.436235e-05,0.0,-0.0,1.21774635e-08,0.00011313125,4.9482475e-07,6.382561e-07,5.0367184e-06,-3.220727e-10,0.0,-1.0979211e-05,8.891142e-09
MO_1020,1.0114347e-06,-2.5227337e-05,-2.0950674e-06,-4.2912618e-10,-6.339122e-06,-0.0,8.4602306e-07,1.0478994e-09,1.1260262e-09,0.0,-0.0,-0.0,-0.0,9.560197e-07,-1.0717072e-08,0.0,-0.0,-0.0,7.802502e-07,-4.544583e-06,1.1835699e-10,0.0,0.0,0.0,1.8728049e-06,-0.0
MO_1118,1.0114991e-06,-8.3299245e-05,-2.0952007e-06,-2.2285327e-08,-1.5137498e-08,-0.0,8.07412e-06,1.047966e-09,1.1260978e-09,0.0,-0.0,6.930242e-08,-0.0,3.113497e-05,-2.465083e-07,0.0,-0.0,-0.0,-1.5152028e-06,-1.3558282e-10,-7.4924735e-08,5.938561e-06,0.0,0.0,-6.8765057e-06,-4.924533e-10
MO_1124,1.0099934e-06,-9.693229e-07,-1.5169499e-06,-7.1011006e-09,-6.293478e-07,-1.3880084e-07,-1.6351306e-07,1.0464061e-09,1.1244216e-09,0.0,-0.0,1.0981244e-08,-6.192832e-09,-4.194508e-06,1.2386568e-05,0.0,-0.0,-0.0,7.7769306e-07,-1.2211366e-07,1.1818833e-10,-7.741453e-06,0.0,0.0,8.210037e-05,-0.0
MO_1184,-3.5944613e-08,5.7727397e-05,-1.4071625e-09,-6.125119e-11,3.3751678e-06,-0.0,-1.0604095e-08,1.0470012e-09,-1.4366163e-08,0.0,-0.0,5.2832376e-05,-0.0,-1.4392056e-06,-0.0,-3.3548536e-10,-0.0,-6.014401e-06,-1.2791445e-07,-1.3545799e-10,1.1825554e-10,0.0,0.0,0.0,-3.368717e-07,-0.0
MO_1473,-9.980241e-10,-6.028446e-05,-1.8547657e-07,2.6500354e-06,1.2847257e-10,1.421054e-06,3.2252615e-07,1.0465426e-09,5.7670167e-11,0.0,-0.0,1.08224685e-05,-5.888525e-07,5.787683e-05,-2.8306126e-06,0.0,-2.6787779e-08,-0.0,-2.272411e-06,3.0497195e-06,1.0638338e-09,5.961053e-06,0.0,0.0,0.00011000455,-4.917844e-10
P03-2345,-0.0,-3.2530437e-08,-0.0,-6.1438764e-11,0.0,-0.0,-5.0650323e-10,1.0502074e-09,5.7872113e-11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,5.2746624e-10,-1.358728e-10,1.1861767e-10,0.0,0.0,0.0,-1.5550824e-05,-0.0
P03-871,1.0225618e-06,-1.863084e-06,-2.118116e-06,-6.1978166e-11,-1.5173004e-08,-4.3155746e-06,-5.109501e-10,1.0594277e-09,1.1384139e-09,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,8.0359973e-07,-1.3706569e-10,-2.3022405e-06,0.0,0.0,0.0,2.6541577e-06,-0.0
P04-2599,4.9930937e-10,-1.423461e-05,2.7443994e-09,-2.691679e-06,2.9566294e-08,4.409685e-05,1.4587475e-05,2.235909e-05,5.770453e-11,0.0,1.9873223e-09,-1.9619245e-05,-0.0,7.250415e-06,5.50778e-08,0.0,-0.0,-0.0,-1.0717317e-05,3.2691165e-07,-1.387356e-07,-1.3860437e-06,0.0,0.0,5.617161e-05,-6.397007e-09
P05-2212,3.111034e-05,-9.72824e-06,-0.00034180412,-2.892564e-06,-0.00015333938,-1.28950105e-05,-3.3625016e-05,-0.000106763575,-3.3160018e-06,4.0712305e-09,-0.0,0.00039284967,-1.8278568e-11,-2.4501376e-05,-0.0003772173,0.0,-3.822073e-07,-0.0,-1.4145184e-05,-9.730481e-06,8.646958e-07,3.0572322e-10,0.0,1.1103637e-08,-4.75659e-05,-6.3960823e-09
P05-3436,-0.0,9.5433585e-08,-0.0,1.6322392e-07,2.5622194e-07,-0.0,-2.077576e-05,4.318838e-06,5.7680895e-11,0.0,-0.0,4.0035815e-05,-0.0,2.03875e-06,-3.8997463e-08,0.0,-0.0,-0.0,6.545257e-08,-9.7384645e-06,1.1822573e-10,0.0,0.0,0.0,-3.0907436e-06,-0.0
P06-1125,6.1936794e-07,-2.3623896e-05,2.1037622e-06,8.86991e-06,-2.022465e-07,-6.8416073e-09,2.6658636e-05,-9.695072e-06,-6.8291837e-07,0.0,1.9864403e-09,-7.272472e-05,1.0963857e-10,1.8181405e-05,-6.922692e-05,0.0,-6.8697037e-10,-4.1010426e-05,-0.000195695,2.6504247e-06,1.6740191e-07,5.6847494e-08,0.0,0.0,0.0004795953,-0.0
PM15,-0.0,-1.9583046e-08,-6.3047295e-08,-6.125742e-11,-5.2273716e-08,-0.0,-1.0287018e-06,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-1.0968112e-10,9.552527e-07,-0.0,0.0,-0.0,9.654658e-10,1.6040236e-08,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,-5.1037904e-07,-0.0
PM154,4.833044e-07,-9.63241e-07,-1.0314142e-06,-1.9296087e-09,-2.6998086e-07,1.2647006e-09,-8.6608907e-07,1.0471074e-09,5.1931165e-10,0.0,-0.0,-0.0,-0.0,1.6637847e-08,-0.0,0.0,-3.5502657e-07,-0.0,5.223594e-07,-1.3547174e-10,1.1826755e-10,0.0,0.0,-6.746056e-08,1.2600505e-06,-0.0
PM158,-1.9391944e-05,-9.067145e-06,-2.3177314e-05,2.5025882e-08,0.0010314283,9.143632e-06,1.4596036e-06,1.7257869e-06,5.7706433e-11,0.0,-0.0,-1.4484271e-05,3.6563627e-11,6.129057e-06,3.990289e-05,0.0,-3.6646733e-07,-0.0,-2.8835547e-07,3.267463e-06,-9.462247e-10,-1.4616777e-05,0.0,0.0,2.2250044e-05,-0.0
PR-02-169,-1.6370816e-05,1.22088595e-05,-0.00016606774,2.0632087e-06,-0.00011746516,2.646823e-07,3.2738192e-06,-0.00011125167,1.1210851e-07,0.0,-0.0,8.720717e-09,5.6373523e-08,2.464291e-06,-2.4950385e-05,0.0,-4.123233e-10,3.7731898e-08,-9.216627e-05,-9.736046e-06,-1.6044628e-06,-1.7738823e-05,0.0,9.24584e-06,-3.0603496e-05,-0.0
PR-04-3222,1.3019608e-06,0.00025309075,-7.038099e-07,-5.828096e-05,6.088892e-05,2.6878067e-07,-9.478104e-05,-8.72941e-05,1.0273467e-08,1.456321e-05,-1.0695949e-06,-4.5640584e-07,5.3538127e-08,4.0720684e-06,-0.000108484106,0.0,-1.2442182e-07,9.412489e-05,-6.611325e-06,-1.572106e-05,-1.2853068e-06,3.4417972e-06,0.0,8.925131e-06,-0.00021525336,-6.3982903e-09
PR-09-2517,-0.0,5.110995e-05,-5.0599516e-05,2.5480057e-08,-0.00103174,3.1519063e-05,0.001512927,-1.6747541e-05,-3.1154996e-09,0.0,-0.0,1.569614e-09,-7.0200366e-07,1.53308e-06,1.9120892e-09,0.0,4.1229312e-10,-1.2621963e-07,-4.0003795e-07,-1.5136356e-05,2.6252275e-08,-3.362853e-09,0.0,0.0,-0.0002689517,-0.0
PR-2762,-1.6377307e-05,-3.3678562e-06,6.662822e-08,1.1993178e-05,-6.1714713e-09,-0.0,-6.389865e-07,9.792771e-08,5.7714947e-11,0.0,-1.0139182e-09,3.6637346e-09,-0.0,7.918063e-06,-2.9303618e-07,0.0,-0.0,-0.0,-7.910232e-05,-9.750446e-06,1.1829553e-10,0.0,0.0,3.2308205e-07,-3.8664078e-07,-0.0
