,coef
R-HSA-1500931,2.7623197e-05
R-HSA-168256,0.0034329179
R-HSA-109582,0.0016309608
R-HSA-8963743,5.0958374e-07
R-HSA-73894,0.008000358
R-HSA-1640170,0.0027925845
R-HSA-1430728,0.00064008025
R-HSA-382551,0.0019436548
R-HSA-1643685,5.404389e-05
R-HSA-5205647,2.8809456e-05
R-HSA-112316,0.000682732
R-HSA-74160,0.00039730177
R-HSA-1474244,4.6829878e-06
R-HSA-1266738,0.0002259935
R-HSA-1852241,3.767368e-06
R-HSA-5357801,3.3609555e-05
R-HSA-1474165,1.9998633e-06
R-HSA-4839726,0.00030055843
R-HSA-69306,9.455509e-05
R-HSA-397014,3.88589e-06
R-HSA-5653656,8.997224e-05
R-HSA-162582,0.0022226747
R-HSA-8953897,0.002024243
R-HSA-8953854,0.0002531615
R-HSA-400253,2.6439997e-05
R-HSA-392499,0.0023775196
