,root
R-HSA-1500931,-0.3345754
R-HSA-168256,0.47223958
R-HSA-109582,-0.5141791
R-HSA-8963743,-0.27432516
R-HSA-73894,0.70581645
R-HSA-1640170,-0.16502686
R-HSA-1430728,-0.43164402
R-HSA-382551,-1.7509552
R-HSA-1643685,-0.03538653
R-HSA-5205647,-0.77991235
R-HSA-112316,-0.97623086
R-HSA-74160,-0.41787106
R-HSA-1474244,0.038400263
R-HSA-1266738,-0.07482888
R-HSA-1852241,-0.0021817964
R-HSA-5357801,0.19100477
R-HSA-1474165,-0.4144434
R-HSA-4839726,-0.43974
R-HSA-69306,-0.1406066
R-HSA-397014,-0.27844983
R-HSA-5653656,0.2496121
R-HSA-162582,0.7389232
R-HSA-8953897,0.33530432
R-HSA-8953854,0.35656533
R-HSA-400253,0.322492
R-HSA-392499,-0.07377746
