ind,Cell Cycle,Extracellular matrix organization,DNA Replication,Cellular responses to external stimuli,Hemostasis,Neuronal System,Digestion and absorption,Mitophagy,DNA Repair,Metabolism of proteins,Metabolism,Muscle contraction,Signal Transduction,Cell-Cell communication,Reproduction,Gene expression (Transcription),Circadian Clock,Immune System,Chromatin organization,Disease,Programmed Cell Death,Organelle biogenesis and maintenance,Transport of small molecules,Developmental Biology,Metabolism of RNA,Vesicle-mediated transport
GSM1594413,-0.00048134077,1.1915419e-06,-1.044516e-05,-7.856961e-06,3.5088638e-06,2.7934475e-06,7.295715e-08,1.6392296e-05,7.521119e-05,-0.00077112415,-6.3345215e-05,6.0876795e-07,-2.445887e-05,1.1289496e-05,1.9469299e-08,-7.861425e-06,7.341977e-08,0.004240753,-6.290583e-07,-1.341003e-05,1.34006705e-05,2.2550184e-07,3.496107e-05,0.0011865637,8.9021254e-05,4.91345e-06
GSM1594435,-0.00023167889,1.0107425e-06,-1.27343355e-05,-7.663247e-06,2.270777e-06,2.7393573e-06,7.293498e-08,1.7225573e-05,8.5617176e-05,-0.0009030973,-6.580409e-05,6.858286e-06,-2.5751046e-06,1.0906177e-05,5.2446364e-08,-4.5909806e-06,7.464149e-08,0.0044759926,-6.4473767e-07,-1.1534987e-05,6.3309144e-06,7.5560695e-07,3.5689252e-05,0.0011767974,9.795661e-05,5.232721e-06
GSM1594516,-0.00043556344,8.598621e-07,-1.1621572e-05,-7.777554e-06,2.770408e-06,2.678029e-06,7.8459365e-08,1.798662e-05,7.4727264e-05,-0.0009031309,-6.1060804e-05,1.07120195e-05,-1.5535223e-05,1.1060158e-05,3.1600734e-08,-4.687035e-06,7.4660385e-08,0.0044264975,-6.290264e-07,-1.1705056e-05,6.465403e-06,-1.8999044e-07,3.617096e-05,0.0011415544,9.108879e-05,4.8859374e-06
GSM1594531,-0.00041585625,8.744886e-07,-9.802646e-06,-7.437596e-06,2.1980238e-06,2.6979362e-06,8.1207965e-08,1.782448e-05,7.764898e-05,-0.0010275277,-6.0838833e-05,-2.9402985e-08,1.2332488e-05,1.0621047e-05,2.0353974e-09,-6.880973e-06,7.714492e-08,0.004488684,-4.6231946e-07,-1.0599111e-05,6.212729e-06,8.2412424e-07,4.0655035e-05,0.0012201533,9.6307755e-05,5.0470985e-06
GSM1594534,-0.0002892601,9.1554e-07,-1.2320708e-05,-7.446465e-06,1.9391243e-06,2.5887311e-06,7.5699695e-08,1.7081133e-05,7.587227e-05,-0.00086636544,-5.9813847e-05,8.153101e-06,-7.95842e-06,1.1012452e-05,-4.6953565e-09,-6.6827847e-06,7.340954e-08,0.004452186,-5.2777983e-07,-9.187883e-06,8.639762e-06,-3.654856e-07,3.979757e-05,0.0010131288,9.384492e-05,5.078096e-06
GSM1594549,-0.00035211106,8.980852e-07,-1.0972245e-05,-7.7697505e-06,3.0734952e-06,2.6705027e-06,7.8465675e-08,1.6994685e-05,7.310261e-05,-0.0008772132,-6.006155e-05,1.6509799e-05,-7.179741e-06,1.1402856e-05,6.6511996e-10,-7.0874034e-06,7.217751e-08,0.004457141,-5.6755835e-07,-9.7137e-06,1.0501308e-05,-5.689214e-07,3.844402e-05,0.0008783598,8.940709e-05,5.0301032e-06
GSM1594577,-0.00028942854,1.0931464e-06,-1.286733e-05,-8.121507e-06,1.96475e-06,2.5862944e-06,7.2951906e-08,1.8003311e-05,8.448535e-05,-0.000978163,-5.9421127e-05,1.4222123e-05,-9.498132e-06,1.0752714e-05,2.1120455e-08,-4.850541e-06,8.336901e-08,0.0044244314,-5.774221e-07,-1.0565298e-05,3.4314799e-06,7.362796e-07,4.147481e-05,0.0010702821,9.7548356e-05,4.8716356e-06
GSM1594578,-0.0005214643,1.3873862e-06,-1.1442373e-05,-7.81021e-06,2.2839833e-06,2.3257137e-06,8.1256154e-08,1.7582826e-05,7.170548e-05,-0.0011506018,-5.8888374e-05,1.1468335e-05,-1.4267717e-05,1.0883199e-05,1.7946324e-08,-5.5997148e-06,7.221065e-08,0.0045176037,-6.77015e-07,-1.5093546e-05,7.79896e-06,3.2537255e-07,3.9959297e-05,0.0007091464,9.2055256e-05,4.726929e-06
GSM1594581,-0.00027151537,1.0197161e-06,-1.0548772e-05,-7.5279545e-06,2.3187336e-06,2.5890215e-06,7.57e-08,1.7303504e-05,7.324713e-05,-0.00089537207,-6.0217702e-05,1.5177102e-05,-1.2574453e-05,1.0606394e-05,3.3270666e-08,-6.697863e-06,7.465407e-08,0.00433675,-4.4444795e-07,-1.1132525e-05,5.226283e-06,1.0145114e-07,3.628711e-05,0.001141334,9.809807e-05,4.9529194e-06
GSM1594582,-0.00019431095,1.1355049e-06,-1.1269928e-05,-7.882793e-06,2.7960853e-06,2.5438924e-06,7.293948e-08,1.7844253e-05,7.869793e-05,-0.00092951005,-5.8680704e-05,1.0509181e-05,-1.9130264e-05,1.071803e-05,-8.8658564e-10,-6.0559273e-06,7.96225e-08,0.004403705,-6.170024e-07,-8.823104e-06,2.5881607e-06,8.934634e-07,3.8607133e-05,0.0011749485,9.445804e-05,5.1329093e-06
