,coef
R-HSA-1474244,0.08889457
R-HSA-1474165,0.0270914
R-HSA-168256,0.001947826
R-HSA-397014,0.050584435
R-HSA-4839726,6.862523e-05
R-HSA-1266738,0.10586684
R-HSA-400253,0.078971885
R-HSA-5653656,0.34884563
R-HSA-5205647,0.0004326743
R-HSA-8963743,0.0035982665
R-HSA-69306,0.0006054216
R-HSA-1852241,0.07944673
R-HSA-74160,0.0749531
R-HSA-5357801,0.008207643
R-HSA-73894,0.05614827
R-HSA-8953897,0.046503764
R-HSA-8953854,0.09960742
R-HSA-1640170,0.17270984
R-HSA-1500931,0.0076209307
R-HSA-112316,0.1628892
R-HSA-162582,0.70103407
R-HSA-392499,0.9577804
R-HSA-1430728,0.71154094
R-HSA-382551,0.17652558
R-HSA-1643685,1.7406106
R-HSA-109582,0.038297463
