,coef
R-HSA-2160916,0.119510606
R-HSA-2173788,0.00016176148
R-HSA-2173795,0.0006231278
R-HSA-2173796,0.0011634133
R-HSA-2206280,0.0
R-HSA-2206282,0.0
R-HSA-2206285,0.0
R-HSA-2206290,0.0
R-HSA-2206291,0.0
R-HSA-2206292,0.0
R-HSA-2206296,0.0
R-HSA-2206302,0.0
R-HSA-2206305,0.0
R-HSA-2206307,0.0
R-HSA-2206308,0.0
R-HSA-2428933,2.7135377e-06
R-HSA-2466712,0.004221549
R-HSA-68881,2.7655356e-05
R-HSA-68882,0.0070195086
R-HSA-2559584,9.032126e-05
R-HSA-2644606,0.0011033188
R-HSA-2644607,0.010086862
R-HSA-2660826,0.016112639
R-HSA-2691232,0.059471432
R-HSA-2894862,0.00706013
R-HSA-2980766,0.014831299
R-HSA-3108214,0.99146885
R-HSA-3232118,0.19040754
R-HSA-3232142,0.070340954
R-HSA-3899300,0.17757636
R-HSA-4085377,0.07693217
R-HSA-4090294,0.036729716
R-HSA-4551638,0.7053238
R-HSA-4570464,0.042458136
R-HSA-4615885,0.5622389
R-HSA-4655427,0.18039633
R-HSA-4755510,0.18120994
R-HSA-3248023,0.0
R-HSA-3065676,0.01806468
R-HSA-3065678,0.1062052
R-HSA-3065679,0.023124687
R-HSA-3229133,0.0
R-HSA-3274531,0.0
R-HSA-3282872,0.0
R-HSA-3785653,0.00049426
R-HSA-3814836,0.0033477861
R-HSA-3828062,0.007170459
R-HSA-3858516,9.3548515e-05
R-HSA-3878781,7.3788964e-05
R-HSA-5357609,0.0043130955
R-HSA-3359454,0.0029653327
R-HSA-3359457,0.0
R-HSA-3359458,0.0
R-HSA-3359462,0.0
R-HSA-3359463,0.0
R-HSA-3359467,4.6157576e-05
R-HSA-3359469,0.007385802
R-HSA-3359471,0.0
R-HSA-3359473,0.007797504
R-HSA-3359474,4.9551418e-05
R-HSA-3359475,0.00011349703
R-HSA-3359478,0.0
R-HSA-3359485,0.0013975226
