,R-HSA-1266738,R-HSA-73894,R-HSA-1852241,R-HSA-8953897,R-HSA-168256,R-HSA-8963743,R-HSA-74160,R-HSA-162582,R-HSA-4839726,R-HSA-1474244,R-HSA-5653656,R-HSA-1640170,R-HSA-1474165,R-HSA-382551,R-HSA-392499,R-HSA-1500931,R-HSA-397014,R-HSA-1430728,R-HSA-112316,R-HSA-5357801,R-HSA-8953854,R-HSA-400253,R-HSA-109582,R-HSA-1643685,R-HSA-69306,R-HSA-5205647
GSM1594220,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594222,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594294,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594462,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594501,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594576,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.04,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594580,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594583,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594585,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.041,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594596,-0.105,0.027,-0.097,-0.097,0.102,-0.071,-0.133,0.064,0.04,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
GSM1594599,-0.105,0.027,-0.097,-0.097,0.103,-0.071,-0.133,0.064,0.04,0.03,-0.051,-0.103,0.008,-0.042,0.043,0.058,-0.095,-0.048,-0.057,-0.04,0.118,0.077,0.111,0.043,0.069,-0.08
