ind,Developmental Biology,DNA Repair,Organelle biogenesis and maintenance,Cellular responses to external stimuli,Immune System,Digestion and absorption,Gene expression (Transcription),Signal Transduction,Chromatin organization,Extracellular matrix organization,Vesicle-mediated transport,Cell Cycle,Reproduction,Transport of small molecules,Metabolism of proteins,Cell-Cell communication,Muscle contraction,Metabolism,Neuronal System,Programmed Cell Death,Metabolism of RNA,Circadian Clock,Hemostasis,Disease,DNA Replication,Mitophagy
GSM1594688,5.284651e-06,-1.9637313e-05,-3.1702095e-07,9.20824e-07,0.00018029935,8.178973e-08,5.6664044e-06,-7.637618e-05,3.1293604e-07,1.1000963e-07,-1.8821191e-07,-2.915114e-06,7.374437e-10,3.912651e-05,9.691197e-08,1.149209e-06,-1.4626648e-06,1.4035429e-05,-9.844731e-08,-1.0606736e-05,-1.4222079e-05,6.064926e-06,-2.2916936e-05,2.7958458e-05,4.1714115e-06,3.0689467e-09
GSM1594708,5.8212104e-06,-1.9550323e-05,-3.060328e-07,9.492173e-07,0.00017717086,7.822943e-08,5.593173e-06,-7.722179e-05,3.1448738e-07,9.337782e-08,-2.1443385e-07,-3.7083805e-06,6.622225e-10,4.2917214e-05,6.427208e-08,1.0550399e-06,-1.4521808e-06,1.4224225e-05,-1.368985e-07,-1.2184538e-05,-1.6103411e-05,6.455541e-06,-2.38714e-05,3.7441136e-05,3.8703097e-06,2.862796e-09
GSM1594755,4.4298986e-06,-2.0824147e-05,-2.2524826e-07,9.412208e-07,0.00018650288,7.669744e-08,5.6518475e-06,-7.799074e-05,4.44291e-07,1.06904835e-07,-3.0706636e-07,-3.502948e-06,7.158838e-10,4.4561908e-05,9.371773e-09,9.848803e-07,-1.5049083e-06,1.658078e-05,-1.00047e-07,-1.203209e-05,-1.5645688e-05,6.8251175e-06,-2.3434306e-05,3.2521053e-05,3.9704396e-06,2.8630285e-09
GSM1594800,5.534514e-06,-2.1092199e-05,-3.0743368e-07,8.709753e-07,0.00017685644,7.2106666e-08,6.8364675e-06,-9.0127185e-05,4.898156e-07,1.1698174e-07,-1.7878223e-07,-4.708863e-06,5.351385e-10,5.4949698e-05,1.0339315e-07,1.1823506e-06,-1.5767384e-06,1.6818027e-05,-9.5021775e-08,-1.2772389e-05,-1.04138635e-05,7.1167437e-06,-2.3824943e-05,1.4960581e-05,3.9904608e-06,2.8639922e-09
GSM1594865,4.763839e-06,-1.9852345e-05,-4.989145e-07,8.826858e-07,0.00018287062,7.824513e-08,7.350071e-06,-8.098492e-05,3.989826e-07,1.2980595e-07,-2.6269473e-07,-2.257877e-06,6.9698103e-10,4.3475116e-05,1.42129934e-08,1.2028326e-06,-1.5133958e-06,1.2315451e-05,-1.1017453e-07,-1.1561081e-05,-1.414417e-05,6.2333124e-06,-2.3543811e-05,3.5416913e-05,4.057898e-06,3.2724234e-09
GSM1594907,6.0498633e-06,-2.1885147e-05,-3.5578e-07,7.5019466e-07,0.00018218215,6.96829e-08,7.666147e-06,-7.761914e-05,4.9648634e-07,1.1223874e-07,-3.2556412e-07,-2.9842522e-06,6.4457256e-10,3.6963705e-05,2.2724702e-08,1.1968879e-06,-1.4942161e-06,1.6274333e-05,-1.1293221e-07,-1.1881702e-05,-1.381396e-05,6.1191035e-06,-2.2704324e-05,3.0933068e-05,3.8021376e-06,3.0683183e-09
GSM1594980,5.0156505e-06,-2.136041e-05,-3.2643857e-07,7.9466713e-07,0.00017457751,6.527363e-08,6.2941385e-06,-8.321658e-05,4.4210262e-07,1.2985085e-07,-2.0114236e-07,-3.8380927e-06,5.204707e-10,3.238533e-05,8.283374e-08,1.0243238e-06,-1.4703844e-06,1.8117256e-05,-8.609918e-08,-1.22898955e-05,-1.5162933e-05,7.0527913e-06,-2.2541026e-05,2.7247805e-05,4.1930853e-06,3.0677134e-09
GSM1595030,3.988815e-06,-2.1120093e-05,-3.558221e-07,7.553845e-07,0.00018091856,7.892467e-08,6.670965e-06,-7.814741e-05,4.0587437e-07,1.2401847e-07,-3.218357e-07,-3.0386225e-06,5.48566e-10,4.4179156e-05,2.7242132e-08,9.670789e-07,-1.5158602e-06,1.6189637e-05,-1.0075501e-07,-1.3499596e-05,-1.6552121e-05,6.1893443e-06,-2.2616228e-05,3.586582e-05,3.9386446e-06,3.477839e-09
GSM1595064,4.434664e-06,-2.0888998e-05,-3.6210545e-07,9.226611e-07,0.00017892032,6.2861695e-08,7.713098e-06,-8.3109e-05,3.9540808e-07,1.2693958e-07,-3.1032306e-07,-3.2430162e-06,3.574367e-10,4.9284794e-05,1.1739508e-07,1.0739317e-06,-1.6082898e-06,1.7195289e-05,-6.020776e-08,-1.3359685e-05,-1.6445601e-05,5.807567e-06,-2.3383212e-05,2.6538386e-05,3.906812e-06,3.0679872e-09
GSM1595135,7.7082605e-06,-2.179977e-05,-3.4814911e-07,7.8251253e-07,0.00017691831,7.166264e-08,7.1376867e-06,-8.214847e-05,4.6271617e-07,1.2340702e-07,-2.308831e-07,-3.2967557e-06,4.792494e-10,3.7445272e-05,1.0788196e-07,1.1650744e-06,-1.4990915e-06,1.3871218e-05,-1.0604738e-07,-1.0012482e-05,-1.3896201e-05,6.7321284e-06,-2.3450584e-05,2.5813322e-05,3.72689e-06,3.272935e-09
GSM1595157,5.224387e-06,-2.0778505e-05,-1.3492787e-07,8.1819366e-07,0.00017049011,8.462989e-08,5.6547415e-06,-7.893673e-05,2.8224002e-07,5.781086e-08,-2.1345939e-07,-2.7155427e-06,5.7418953e-10,5.339628e-05,-1.1410272e-08,9.778892e-07,-1.5267457e-06,1.42861645e-05,-1.1006679e-07,-1.0724232e-05,-1.5320817e-05,5.507097e-06,-2.4701114e-05,3.1872165e-05,4.016965e-06,2.8637381e-09
GSM1595208,6.5014533e-06,-2.113442e-05,-7.8929084e-08,9.3731063e-07,0.0001734722,9.013562e-08,7.07558e-06,-8.220651e-05,3.5427212e-07,7.5154134e-08,-1.9761045e-07,-2.816364e-06,7.2284634e-10,5.2487107e-05,6.675963e-08,1.0982809e-06,-1.5366146e-06,1.5608062e-05,-1.2379355e-07,-1.1934284e-05,-1.606e-05,5.898518e-06,-2.2496317e-05,2.7181819e-05,3.916404e-06,2.864065e-09
