,root
R-HSA-1266738,-0.46796155
R-HSA-73894,0.69334185
R-HSA-1852241,-0.36263192
R-HSA-8953897,-0.24217293
R-HSA-168256,0.08859528
R-HSA-8963743,-0.12524582
R-HSA-74160,-0.42539036
R-HSA-162582,-0.4147533
R-HSA-4839726,0.004293132
R-HSA-1474244,0.015004642
R-HSA-5653656,-0.012404807
R-HSA-1640170,-0.38953602
R-HSA-1474165,-0.005091929
R-HSA-382551,1.472979
R-HSA-392499,-0.021889698
R-HSA-1500931,0.18322022
R-HSA-397014,-0.39451027
R-HSA-1430728,-0.33120418
R-HSA-112316,-0.06944944
R-HSA-5357801,-0.57341915
R-HSA-8953854,0.24200478
R-HSA-400253,0.26759195
R-HSA-109582,0.34945557
R-HSA-1643685,0.783072
R-HSA-69306,0.33266705
R-HSA-5205647,-0.11654817
