ind,Cellular responses to external stimuli,Immune System,Metabolism,Digestion and absorption,Metabolism of proteins,Metabolism of RNA,Gene expression (Transcription),DNA Repair,Disease,Organelle biogenesis and maintenance,Signal Transduction,Vesicle-mediated transport,Muscle contraction,Hemostasis,Cell Cycle,Developmental Biology,Reproduction,Extracellular matrix organization,Mitophagy,Transport of small molecules,Programmed Cell Death,Cell-Cell communication,Circadian Clock,Chromatin organization,Neuronal System,DNA Replication
GSM1594753,1.0211333e-05,-0.0005872066,-6.2114946e-06,-4.9799187e-08,1.7449498e-05,5.3136904e-05,0.0012161406,0.0002702579,-1.7702629e-08,-4.658176e-08,1.0024524e-05,1.8374867e-06,-5.1806e-07,3.1347314e-05,-2.9525285e-07,2.6140242e-05,3.5519595e-05,-1.40983775e-05,1.8577018e-07,-1.9906252e-06,-1.4415225e-06,4.7439818e-07,-3.6014575e-07,-8.990911e-06,-1.1659427e-07,1.3280825e-05
GSM1594755,7.84779e-06,-0.0006293549,5.8667365e-06,-5.223613e-08,1.8342571e-05,5.1333547e-05,0.0011109093,0.00026796307,-1.926797e-08,-7.2851117e-07,1.0180534e-05,8.8310304e-07,-4.6460923e-07,2.4571758e-05,-3.4374227e-07,2.6619966e-05,3.3711596e-05,-1.3402219e-05,1.833445e-07,-1.6813161e-06,-1.3041918e-06,4.6822527e-07,-3.749567e-07,-8.525983e-06,-1.9901695e-07,1.36786175e-05
GSM1594810,1.3573996e-05,-0.0005946135,-1.1261871e-05,-4.248339e-08,1.8529174e-05,5.332374e-05,0.002084376,0.000273597,-4.289574e-09,-6.0291e-07,1.01448e-05,2.6898117e-06,-3.293139e-07,3.5549227e-05,-4.0828263e-07,2.6993159e-05,3.676313e-05,-1.3215705e-05,1.6710392e-07,-1.6300587e-06,-1.3802571e-06,4.2626016e-07,-3.65369e-07,-8.276552e-06,-5.4426465e-07,1.4983103e-05
GSM1594850,1.2012145e-05,-0.000629096,-2.5735835e-06,-3.5213755e-08,1.730864e-05,5.0715018e-05,0.0016195746,0.00027963094,-5.5967315e-09,2.9668618e-07,1.06070565e-05,1.6280453e-07,-8.3866166e-07,3.1559266e-05,-3.8467388e-07,2.8168939e-05,3.884885e-05,-1.3562111e-05,1.9328655e-07,-1.0667505e-06,-1.6849228e-06,4.8882345e-07,-3.6168194e-07,-7.40088e-06,1.771727e-07,1.3565285e-05
GSM1594865,8.187266e-06,-0.0006699755,-1.0556149e-06,-4.4952877e-08,2.0296657e-05,5.058606e-05,0.0010336945,0.00026929006,-1.5784028e-08,6.688544e-08,1.001901e-05,5.2666263e-07,-1.0554953e-06,2.7751536e-05,-4.481073e-07,2.7017419e-05,3.4783137e-05,-1.4368458e-05,2.4715607e-07,-2.3040152e-06,-1.4602206e-06,4.877077e-07,-3.6461634e-07,-9.391895e-06,-2.1718316e-07,1.4221113e-05
GSM1594886,9.640147e-06,-0.00060430693,-8.630817e-06,-3.76509e-08,1.6042475e-05,5.1782285e-05,0.0013502015,0.00027179532,-1.31899185e-08,-3.5272404e-07,1.0666456e-05,2.9029131e-06,-4.858848e-07,2.3527535e-05,-3.738851e-07,2.6250611e-05,3.3087643e-05,-1.3966995e-05,2.101792e-07,-5.5757255e-07,-1.2925475e-06,5.152892e-07,-3.9346003e-07,-8.951463e-06,-8.808843e-08,1.3830629e-05
GSM1595084,1.1372e-05,-0.0006139972,-9.294086e-06,-3.6428233e-08,2.0055144e-05,4.9295115e-05,0.0015920963,0.00028087982,-9.910128e-09,4.2324967e-07,1.0802489e-05,-9.9753635e-08,-1.0368395e-06,2.9625391e-05,-2.9223253e-07,2.9075207e-05,3.630119e-05,-1.442081e-05,2.3710523e-07,-2.4709511e-06,-1.5533822e-06,4.9159974e-07,-3.7261105e-07,-8.542602e-06,-5.3877383e-08,1.3267563e-05
GSM1595120,8.988509e-06,-0.00063928124,-1.471204e-06,-3.5227632e-08,1.7388487e-05,4.892942e-05,0.0011409638,0.00026548523,-1.0717615e-08,-3.5578802e-07,1.1340299e-05,1.8015976e-06,-6.3098275e-07,2.9875224e-05,-4.4822437e-07,2.680166e-05,3.3093114e-05,-1.3341414e-05,2.4412975e-07,1.2167492e-06,-1.2581294e-06,4.973397e-07,-3.9844414e-07,-9.573349e-06,5.1825295e-09,1.38972e-05
GSM1595148,1.165317e-05,-0.000608842,-1.1499946e-05,-3.886049e-08,1.9083116e-05,5.0775994e-05,0.0014511711,0.00028068587,-1.5904826e-08,2.4526034e-07,1.1117551e-05,2.0542427e-06,-8.637082e-07,2.6359949e-05,-3.1187872e-07,2.7061209e-05,3.55827e-05,-1.3397768e-05,2.411795e-07,-1.4763158e-06,-1.5841954e-06,4.8055165e-07,-3.934099e-07,-8.474088e-06,-3.5230883e-07,1.3670954e-05
GSM1595153,1.2431966e-05,-0.00057850993,-1.6560078e-05,-4.6154227e-08,2.0839549e-05,5.0797196e-05,0.0012514993,0.00027535207,-1.4042572e-08,-1.7016959e-07,1.0527064e-05,7.0284676e-07,-8.3333805e-07,2.733398e-05,-2.2768447e-07,2.6379612e-05,3.5711222e-05,-1.410306e-05,2.0656036e-07,-1.2000212e-06,-1.5641673e-06,4.8756414e-07,-3.617765e-07,-8.770406e-06,2.0727368e-08,1.3703996e-05
GSM1595160,1.2392e-05,-0.0005956853,-2.105781e-06,-5.223885e-08,1.7918508e-05,5.347554e-05,0.0009812096,0.00026797736,-1.8716932e-08,-2.5174208e-07,1.0173899e-05,1.9850454e-06,-6.7513844e-07,2.5686999e-05,-2.4077195e-07,2.6546562e-05,3.459773e-05,-1.3528506e-05,1.834607e-07,-2.9104194e-07,-1.4813936e-06,4.793489e-07,-3.695101e-07,-9.518207e-06,-2.6018674e-07,1.3385244e-05
