,root
R-HSA-8953897,-0.22517899
R-HSA-168256,0.7589355
R-HSA-1430728,-0.35577723
R-HSA-8963743,-0.7390785
R-HSA-392499,0.18669014
R-HSA-8953854,-0.19876182
R-HSA-74160,-0.9043805
R-HSA-73894,-0.7972239
R-HSA-1643685,0.0014193086
R-HSA-1852241,-0.45716864
R-HSA-162582,-0.025018891
R-HSA-5653656,-0.38186103
R-HSA-397014,-0.024574574
R-HSA-109582,-0.04341432
R-HSA-1640170,-0.028839858
R-HSA-1266738,0.18346903
R-HSA-1474165,-0.4018118
R-HSA-1474244,-1.52809
R-HSA-5205647,-0.12978068
R-HSA-382551,-0.27905473
R-HSA-5357801,0.3010122
R-HSA-1500931,0.42202592
R-HSA-400253,0.3325409
R-HSA-4839726,0.32456475
R-HSA-112316,0.31531665
R-HSA-69306,-0.11175035
