ind,DNA Replication,DNA Repair,Disease,Cellular responses to external stimuli,Neuronal System,Digestion and absorption,Organelle biogenesis and maintenance,Developmental Biology,Hemostasis,Reproduction,Chromatin organization,Gene expression (Transcription),Transport of small molecules,Mitophagy,Programmed Cell Death,Extracellular matrix organization,Vesicle-mediated transport,Cell-Cell communication,Signal Transduction,Metabolism of proteins,Cell Cycle,Metabolism of RNA,Immune System,Metabolism,Muscle contraction,Circadian Clock
GSM1594267,-2.6436858e-06,6.0533803e-05,8.490414e-05,-5.606724e-07,9.1736024e-07,-4.748879e-09,-6.7699584e-06,-0.00011964967,-2.4737946e-07,8.223561e-07,-4.8852903e-06,-5.3567608e-05,1.3084212e-07,1.30938915e-05,-5.059784e-07,-9.248935e-07,-2.2637458e-05,3.6186316e-06,5.1224142e-05,-1.0207761e-05,7.2512674e-05,-8.6850276e-05,-2.248929e-05,-0.00010180486,0.00013044884,-1.2044691e-06
GSM1594282,-2.8887493e-06,5.6099485e-05,4.579861e-05,-5.8180154e-07,9.2638294e-07,-8.1615354e-09,-6.6770776e-06,-9.792272e-05,-2.708409e-07,8.0201306e-07,-4.1137673e-06,-5.2465006e-05,1.320005e-07,1.30286135e-05,-3.5294883e-07,-5.552967e-07,-1.8778943e-05,3.7527343e-06,5.0998482e-05,8.610854e-08,6.256116e-05,-8.0243575e-05,5.9237386e-06,-8.171705e-05,0.00013766717,-1.152023e-06
GSM1594377,-2.8952077e-06,5.9075028e-05,8.4764164e-05,-5.615649e-07,9.142323e-07,-5.4255342e-09,-6.9209236e-06,-0.000104363025,-2.4636637e-07,8.237642e-07,-4.902348e-06,-5.116476e-05,1.271322e-07,1.2618977e-05,-4.8211695e-07,-1.1181621e-06,-1.9183359e-05,3.5719734e-06,5.209127e-05,-1.17573345e-05,6.775047e-05,-9.045546e-05,-1.1579177e-05,-7.431396e-05,0.0001338094,-1.2224307e-06
GSM1594455,-3.0165525e-06,5.4898093e-05,0.00011134498,-5.754361e-07,9.086579e-07,-5.3351985e-09,-6.7017427e-06,-0.0001006949,-2.5597168e-07,8.0283655e-07,-4.0157024e-06,-5.3724743e-05,1.1543951e-07,1.2306662e-05,-5.0104967e-07,-1.3097797e-06,-2.230701e-05,3.5640694e-06,4.880595e-05,-1.3632223e-05,7.0298964e-05,-8.235388e-05,1.0645173e-05,-8.206565e-05,0.0001362748,-1.0841379e-06
GSM1594501,-2.877378e-06,5.8179747e-05,0.00010048948,-5.6773223e-07,9.1850535e-07,-5.105113e-09,-6.9256957e-06,-9.733912e-05,-2.8409957e-07,8.155274e-07,-4.4374965e-06,-5.3104424e-05,1.1845247e-07,1.295747e-05,-5.070203e-07,-1.0340357e-06,-2.0714775e-05,3.7457405e-06,4.9848226e-05,-5.0281443e-07,6.175257e-05,-8.9888665e-05,-1.9369081e-06,-8.515088e-05,0.00014579251,-1.0252912e-06
GSM1594576,-2.706698e-06,6.307929e-05,5.286744e-05,-5.664467e-07,9.135323e-07,-6.3200267e-09,-6.4522765e-06,-0.00011026452,-2.2751647e-07,7.5816143e-07,-4.765136e-06,-5.2493106e-05,1.3970796e-07,1.2831126e-05,-5.5452824e-07,-9.842286e-07,-1.9787927e-05,3.6420686e-06,5.09009e-05,-4.705731e-06,6.289645e-05,-9.0168476e-05,-2.3347513e-05,-6.958603e-05,0.00012442788,-1.3418743e-06
GSM1594581,-2.8393779e-06,5.8509795e-05,8.044371e-05,-5.5832663e-07,8.8841404e-07,-4.592948e-09,-6.9494095e-06,-0.00012350109,-2.469684e-07,8.278986e-07,-4.4816197e-06,-5.4228156e-05,1.380755e-07,1.3137535e-05,-5.4914295e-07,-9.657849e-07,-1.4035901e-05,4.0283144e-06,5.4133056e-05,7.977735e-06,6.8769485e-05,-9.079729e-05,9.26604e-06,-6.95665e-05,0.00012937741,-1.0787403e-06
GSM1594582,-2.8798993e-06,6.321822e-05,9.185452e-05,-5.329e-07,8.5695456e-07,-6.536571e-09,-6.815073e-06,-0.00012463487,-2.4070854e-07,8.214713e-07,-4.7992125e-06,-4.96971e-05,1.2136456e-07,1.3656271e-05,-4.3086916e-07,-9.248918e-07,-1.8344974e-05,4.0374484e-06,5.2455795e-05,-6.617533e-06,7.0467264e-05,-9.1280854e-05,-1.7061282e-05,-7.606134e-05,0.00013401834,-1.2043964e-06
GSM1594585,-2.8551738e-06,6.2051135e-05,8.44056e-05,-5.67237e-07,8.685629e-07,-5.4305307e-09,-6.933626e-06,-0.000118036965,-2.4372528e-07,7.97536e-07,-4.962929e-06,-5.2804055e-05,1.10536774e-07,1.3338544e-05,-4.282082e-07,-8.831561e-07,-2.4692452e-05,4.009012e-06,5.2738862e-05,-9.889045e-06,6.499958e-05,-8.571792e-05,-2.0001644e-05,-7.920282e-05,0.0001402933,-1.19307e-06
GSM1594586,-2.8338875e-06,6.0225637e-05,8.583908e-05,-5.773558e-07,8.327856e-07,-6.5866175e-09,-7.35739e-06,-0.00012685983,-2.3813728e-07,7.9526365e-07,-5.000952e-06,-5.0464296e-05,1.2412993e-07,1.3946662e-05,-5.464368e-07,-9.824039e-07,-1.3785405e-05,3.8832386e-06,5.1834457e-05,2.5233207e-05,7.451719e-05,-8.45702e-05,-1.1676683e-05,-8.0090394e-05,0.00013223835,-1.2990919e-06
GSM1594597,-2.8602901e-06,6.136424e-05,9.746046e-05,-5.600085e-07,9.152743e-07,-5.6120153e-09,-7.11187e-06,-0.000113278256,-2.5311394e-07,8.1711346e-07,-4.7474127e-06,-5.3956825e-05,1.2809613e-07,1.3712042e-05,-6.0751285e-07,-1.0775126e-06,-2.0505486e-05,3.6555907e-06,5.2107294e-05,1.2648299e-05,6.9099144e-05,-8.637201e-05,-1.21848525e-05,-9.028428e-05,0.00012540878,-1.132484e-06
GSM1594598,-2.8224986e-06,6.1003237e-05,5.872756e-05,-5.8075926e-07,8.5506446e-07,-5.4624745e-09,-6.629738e-06,-0.00011046277,-2.4528384e-07,8.1138626e-07,-4.9090554e-06,-5.305193e-05,1.3505851e-07,1.3723399e-05,-5.567438e-07,-1.1927581e-06,-1.9856161e-05,3.8463686e-06,5.1329953e-05,-9.091428e-06,7.558225e-05,-9.25088e-05,-2.3290908e-05,-8.110625e-05,0.00013550126,-1.0916036e-06
GSM1594601,-2.7180804e-06,6.156503e-05,0.000101682075,-5.693925e-07,9.271244e-07,-5.4247553e-09,-6.6029247e-06,-0.000119523655,-2.489484e-07,8.337004e-07,-4.9519545e-06,-5.2546948e-05,1.2165361e-07,1.3428949e-05,-5.002974e-07,-1.0462124e-06,-1.9464995e-05,3.6898223e-06,5.2590825e-05,-3.2443086e-06,6.546771e-05,-8.9117035e-05,-1.4261002e-05,-9.5900104e-05,0.00012487614,-1.0080126e-06
GSM1594680,-2.8802574e-06,6.0711383e-05,7.506645e-05,-5.710974e-07,9.061354e-07,-4.9695354e-09,-7.4699824e-06,-0.000115625066,-2.3034245e-07,7.9332216e-07,-4.8205466e-06,-5.222942e-05,1.3623942e-07,1.3306169e-05,-5.271215e-07,-8.368755e-07,-1.6109978e-05,3.7596112e-06,5.2101208e-05,-8.326373e-06,7.661388e-05,-8.492635e-05,-1.224383e-05,-8.7043874e-05,0.00013508464,-1.0915672e-06
GSM1594707,-2.9374578e-06,6.299671e-05,7.958966e-05,-5.641676e-07,8.455417e-07,-5.1182187e-09,-6.5681425e-06,-0.00012075994,-2.4976788e-07,8.186852e-07,-4.8900242e-06,-5.3538064e-05,1.46697e-07,1.40811835e-05,-4.8835636e-07,-6.1764894e-07,-2.4854999e-05,3.864193e-06,5.1378272e-05,-2.3481509e-05,7.947192e-05,-8.670792e-05,-2.9718372e-05,-7.693159e-05,0.00013567023,-1.0215183e-06
GSM1594708,-2.7861222e-06,6.181295e-05,8.0832295e-05,-5.593091e-07,9.1797597e-07,-6.090238e-09,-6.545554e-06,-0.0001086746,-2.390014e-07,8.0800976e-07,-5.172999e-06,-5.290167e-05,1.5233225e-07,1.35589635e-05,-4.751908e-07,-1.052994e-06,-1.9497169e-05,3.7405614e-06,5.232421e-05,-1.285108e-05,6.098453e-05,-9.5378855e-05,-1.3853062e-05,-9.3294555e-05,0.0001282342,-1.1089862e-06
GSM1594757,-2.9193538e-06,5.742616e-05,6.6144596e-05,-6.040856e-07,9.2163395e-07,-6.35911e-09,-6.687102e-06,-9.377472e-05,-2.532313e-07,7.7541074e-07,-5.029018e-06,-5.4219494e-05,1.3463118e-07,1.2280658e-05,-5.5653015e-07,-1.254408e-06,-2.4126673e-05,3.7288282e-06,5.092463e-05,-2.4398967e-05,8.276093e-05,-8.64124e-05,-1.1473282e-05,-6.39485e-05,0.00014167956,-1.0133107e-06
GSM1594865,-2.71697e-06,5.601689e-05,6.27919e-05,-5.670083e-07,9.162237e-07,-4.5438653e-09,-7.086193e-06,-0.0001047182,-2.7102607e-07,8.322034e-07,-4.328191e-06,-5.4275493e-05,1.0865691e-07,1.2814342e-05,-4.574862e-07,-4.966027e-07,-2.2989187e-05,3.806115e-06,5.2784417e-05,2.0163084e-06,8.2109975e-05,-8.056251e-05,2.9088358e-06,-0.00010634099,0.0001468277,-1.0962768e-06
GSM1594943,-3.2159821e-06,5.6232755e-05,9.272104e-05,-5.705394e-07,9.144655e-07,-5.6124536e-09,-6.918172e-06,-8.211932e-05,-2.695845e-07,7.809722e-07,-4.1563585e-06,-5.155665e-05,1.2977713e-07,1.0714609e-05,-4.984729e-07,-1.0113795e-06,-2.119875e-05,3.927054e-06,4.9137772e-05,4.7677595e-06,6.4960936e-05,-8.212755e-05,5.9915096e-06,-7.267604e-05,0.00013653499,-1.0679546e-06
GSM1594980,-2.863153e-06,6.3432126e-05,8.5694584e-05,-5.4426334e-07,8.603533e-07,-5.6109064e-09,-6.84581e-06,-0.00011264353,-2.5398217e-07,8.1917136e-07,-4.9455602e-06,-5.3835596e-05,1.3561788e-07,1.4171565e-05,-5.0779175e-07,-1.0960727e-06,-1.9976826e-05,3.6369004e-06,4.9831124e-05,2.2300252e-05,6.728062e-05,-8.785707e-05,-1.3724744e-05,-8.12958e-05,0.00013238884,-1.1666481e-06
GSM1594988,-3.0120095e-06,5.8990783e-05,8.308297e-05,-5.6377706e-07,9.332027e-07,-5.4273523e-09,-6.3883226e-06,-6.637203e-05,-2.6010224e-07,7.778278e-07,-4.336385e-06,-5.4942466e-05,1.249947e-07,1.1914153e-05,-3.8569885e-07,-6.276326e-07,-2.5707357e-05,3.7111488e-06,5.026623e-05,2.759336e-06,7.162768e-05,-8.690777e-05,-1.9312116e-05,-6.690739e-05,0.00014007211,-1.0394552e-06
GSM1595080,-2.546467e-06,5.7233447e-05,0.00010174674,-5.998578e-07,8.5504877e-07,-6.2161147e-09,-6.5095837e-06,-9.608537e-05,-2.6035107e-07,7.9067746e-07,-4.6814694e-06,-5.2343796e-05,1.2560898e-07,1.2397672e-05,-4.0508388e-07,-6.783892e-07,-1.6667442e-05,3.772049e-06,4.962278e-05,-3.0439365e-05,8.0165875e-05,-8.310973e-05,-3.5327357e-06,-7.619817e-05,0.0001377839,-1.0480845e-06
