,R-HSA-69306,R-HSA-73894,R-HSA-1643685,R-HSA-8953897,R-HSA-112316,R-HSA-8963743,R-HSA-1852241,R-HSA-1266738,R-HSA-109582,R-HSA-1474165,R-HSA-4839726,R-HSA-74160,R-HSA-382551,R-HSA-5205647,R-HSA-5357801,R-HSA-1474244,R-HSA-5653656,R-HSA-1500931,R-HSA-162582,R-HSA-392499,R-HSA-1640170,R-HSA-8953854,R-HSA-168256,R-HSA-1430728,R-HSA-397014,R-HSA-400253
GSM1594221,-0.072,0.137,-0.141,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.097,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594253,-0.072,0.137,-0.141,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.098,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594254,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.097,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.011,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594268,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.098,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594346,-0.072,0.137,-0.141,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.097,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.011,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594395,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.097,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594554,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.098,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594562,-0.072,0.137,-0.141,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.098,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594587,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.098,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.011,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594590,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,0.0,-0.015,0.089,-0.052,-0.097,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
GSM1594639,-0.072,0.137,-0.142,-0.038,0.077,-0.052,-0.037,-0.0,-0.015,0.089,-0.052,-0.097,-0.044,-0.077,-0.04,0.075,-0.13,-0.104,0.0,0.012,0.171,0.031,0.076,0.118,0.157,-0.057
