,root
R-HSA-69306,-0.24019976
R-HSA-73894,0.43723783
R-HSA-1643685,-0.3768309
R-HSA-8953897,-0.23198864
R-HSA-112316,0.11099878
R-HSA-8963743,-0.058485772
R-HSA-1852241,-1.1392407
R-HSA-1266738,-1.2476476
R-HSA-109582,0.0027444947
R-HSA-1474165,0.017279046
R-HSA-4839726,-0.012969914
R-HSA-74160,-0.38522407
R-HSA-382551,-0.010695216
R-HSA-5205647,-0.07986214
R-HSA-5357801,-0.05208217
R-HSA-1474244,0.20769621
R-HSA-5653656,-0.39859286
R-HSA-1500931,-0.3332647
R-HSA-162582,-0.110044
R-HSA-392499,-0.53236204
R-HSA-1640170,1.448088
R-HSA-8953854,0.29604697
R-HSA-168256,0.49171653
R-HSA-1430728,0.3392581
R-HSA-397014,0.30873904
R-HSA-400253,-0.103266165
