,R-HSA-400253,R-HSA-392499,R-HSA-109582,R-HSA-73894,R-HSA-162582,R-HSA-1430728,R-HSA-1474244,R-HSA-8953897,R-HSA-168256,R-HSA-382551,R-HSA-74160,R-HSA-5653656,R-HSA-112316,R-HSA-4839726,R-HSA-1474165,R-HSA-1266738,R-HSA-1852241,R-HSA-5357801,R-HSA-8953854,R-HSA-1640170,R-HSA-5205647,R-HSA-1500931,R-HSA-69306,R-HSA-397014,R-HSA-8963743,R-HSA-1643685
GSM1594258,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.079
GSM1594578,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.069,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.09,0.076,0.034,-0.078
GSM1594595,-0.047,0.046,0.004,-0.089,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594601,-0.047,0.046,0.004,-0.089,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.079
GSM1594621,-0.047,0.046,0.004,-0.089,-0.144,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594633,-0.047,0.046,0.004,-0.088,-0.144,-0.118,-0.103,-0.07,-0.027,0.076,-0.003,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594657,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.027,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594786,-0.047,0.046,0.004,-0.089,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594878,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594988,-0.047,0.046,0.004,-0.088,-0.144,-0.118,-0.103,-0.07,-0.028,0.076,-0.004,-0.083,-0.037,-0.038,-0.053,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1595001,-0.047,0.046,0.004,-0.087,-0.145,-0.118,-0.103,-0.069,-0.027,0.076,-0.003,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1595142,-0.047,0.046,0.004,-0.089,-0.144,-0.118,-0.103,-0.07,-0.027,0.076,-0.003,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.034,-0.079
GSM1595145,-0.047,0.046,0.004,-0.089,-0.145,-0.118,-0.103,-0.069,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1595155,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.075,0.033,-0.078
GSM1595160,-0.047,0.046,0.004,-0.089,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1595164,-0.047,0.046,0.004,-0.088,-0.144,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1595170,-0.047,0.046,0.004,-0.089,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.079
GSM1594222,-0.047,0.046,0.004,-0.088,-0.145,-0.117,-0.103,-0.069,-0.027,0.075,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594224,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594253,-0.047,0.046,0.004,-0.089,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594267,-0.047,0.046,0.004,-0.089,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594304,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.028,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594372,-0.047,0.046,0.004,-0.088,-0.144,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594391,-0.047,0.047,0.005,-0.088,-0.144,-0.117,-0.103,-0.069,-0.027,0.076,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594413,-0.047,0.046,0.005,-0.088,-0.144,-0.118,-0.103,-0.07,-0.028,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594533,-0.047,0.046,0.004,-0.088,-0.144,-0.118,-0.103,-0.07,-0.028,0.076,-0.003,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594536,-0.047,0.047,0.005,-0.088,-0.145,-0.117,-0.103,-0.069,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594549,-0.047,0.046,0.004,-0.088,-0.144,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594581,-0.047,0.047,0.004,-0.088,-0.144,-0.118,-0.103,-0.07,-0.027,0.075,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594588,-0.047,0.046,0.004,-0.089,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594589,-0.047,0.046,0.004,-0.088,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594597,-0.047,0.046,0.004,-0.089,-0.145,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.079
GSM1594599,-0.047,0.046,0.004,-0.088,-0.145,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1594606,-0.047,0.046,0.004,-0.089,-0.144,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.09,0.076,0.033,-0.079
GSM1594659,-0.047,0.046,0.005,-0.089,-0.144,-0.118,-0.103,-0.07,-0.028,0.076,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.034,-0.078
GSM1594943,-0.047,0.046,0.004,-0.087,-0.144,-0.118,-0.103,-0.07,-0.028,0.076,-0.003,-0.083,-0.037,-0.037,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.034,-0.078
GSM1595054,-0.047,0.046,0.004,-0.088,-0.145,-0.118,-0.103,-0.07,-0.028,0.076,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.079
GSM1595079,-0.047,0.046,0.004,-0.088,-0.144,-0.118,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.037,-0.052,0.062,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
GSM1595153,-0.047,0.046,0.004,-0.089,-0.144,-0.117,-0.103,-0.07,-0.027,0.076,-0.004,-0.083,-0.037,-0.038,-0.052,0.061,-0.081,-0.056,-0.026,-0.068,0.09,0.055,0.091,0.076,0.033,-0.078
