ind,Circadian Clock,Metabolism of proteins,Hemostasis,DNA Repair,Signal Transduction,Metabolism,Extracellular matrix organization,Cellular responses to external stimuli,Immune System,Transport of small molecules,Gene expression (Transcription),Vesicle-mediated transport,Neuronal System,Chromatin organization,Reproduction,Developmental Biology,Organelle biogenesis and maintenance,Programmed Cell Death,Metabolism of RNA,Cell Cycle,Mitophagy,Cell-Cell communication,DNA Replication,Muscle contraction,Digestion and absorption,Disease
GSM1595142,-5.130428e-07,-0.000406549,0.00020853072,0.0006009258,-0.00034987958,0.00010488565,-5.7698886e-05,0.000121738965,-3.7692804e-05,-0.00039776613,1.2939603e-06,-0.00021000972,2.5918385e-07,-2.23789e-05,1.695817e-06,-1.08048935e-05,6.352029e-05,-6.431297e-05,3.109722e-05,-0.00018159862,-1.5603746e-05,-1.0284859e-05,-8.6016626e-05,0.00031916908,-9.9891055e-05,0.00010628653
GSM1595145,-5.414844e-07,-0.0004176559,0.00021749569,0.0006333636,-0.0003924888,9.699872e-05,-5.6480374e-05,0.000114589144,-4.0658044e-05,-0.0003793702,1.6358451e-06,-0.0002475603,-2.2028596e-08,-1.6880944e-05,2.4256276e-06,-1.0820788e-05,5.7466827e-05,-6.0241822e-05,3.0491678e-05,-0.00019694633,-1.6374779e-05,-9.844365e-06,-7.734657e-05,0.00033374003,-0.000117209944,0.00010263709
GSM1595155,-5.9112455e-07,-0.0004225673,0.00022554476,0.00059519534,-0.0004248027,9.562036e-05,-5.4792294e-05,0.00012574531,-4.008371e-05,-0.00040516577,1.5481512e-06,-0.00023164389,-1.6933544e-07,-1.7294855e-05,2.6330615e-06,-1.0265749e-05,5.713215e-05,-6.2306935e-05,2.9503497e-05,-0.00019483388,-1.1619653e-05,-1.0006676e-05,-7.304002e-05,0.00030447627,-0.00012470986,0.00010259742
GSM1595160,-5.2895956e-07,-0.00043062653,0.00022128422,0.00062397565,-0.0003697541,9.3638904e-05,-5.6849498e-05,0.000120963836,-4.0743736e-05,-0.0003877101,1.5752028e-06,-0.0002091635,-6.614705e-08,-1.7556087e-05,2.3887328e-06,-1.2082526e-05,5.729674e-05,-6.054525e-05,2.7400985e-05,-0.00020042183,-1.4142335e-05,-9.879644e-06,-8.0969425e-05,0.00034324836,-0.00012406455,9.745763e-05
GSM1595164,-4.733949e-07,-0.00039995057,0.00019294789,0.00056612014,-0.00034294697,8.639039e-05,-5.5439697e-05,0.00011630644,-3.951565e-05,-0.00039644542,1.3799232e-06,-0.0002335174,-2.3354167e-07,-1.7859296e-05,1.597497e-06,-1.2032629e-05,5.547253e-05,-6.0957056e-05,2.8135726e-05,-0.00020435212,-1.4115433e-05,-1.03588e-05,-7.538776e-05,0.00034057946,-0.0001095413,9.8775745e-05
GSM1595170,-4.8463414e-07,-0.00043726154,0.00021182158,0.0006117907,-0.00038241618,9.619573e-05,-5.6655786e-05,0.00012607247,-3.9446128e-05,-0.00039393574,1.4658951e-06,-0.00022944693,-5.8895013e-09,-1.8573517e-05,2.0884888e-06,-9.780864e-06,5.7256246e-05,-6.309544e-05,2.9407425e-05,-0.00018960697,-1.2222386e-05,-1.0295137e-05,-7.874886e-05,0.00032259602,-0.00011173861,0.0001073662
GSM1594222,-6.539241e-07,-0.00043076076,0.00020687123,0.000581511,-0.0004256149,8.0919206e-05,-5.3848264e-05,0.000112650225,-3.911595e-05,-0.00037321885,1.40192e-06,-0.00021176238,1.398258e-07,-1.8392286e-05,1.3549758e-06,-1.1452272e-05,6.0545262e-05,-6.0627415e-05,3.0058161e-05,-0.00018395473,-1.6849777e-05,-1.01450305e-05,-8.106552e-05,0.00033538806,-0.00011970483,0.000103468505
GSM1594224,-5.0711026e-07,-0.00041958425,0.00021540077,0.0005939247,-0.00035969593,9.5735726e-05,-5.7031717e-05,0.00012374806,-3.993627e-05,-0.00039609743,1.521827e-06,-0.00020189532,-2.268575e-07,-2.0317364e-05,1.8952197e-06,-1.1352518e-05,6.0503335e-05,-6.0074413e-05,3.137654e-05,-0.00017912855,-1.7494815e-05,-1.0363999e-05,-8.2496575e-05,0.0003344213,-0.0001100758,9.825629e-05
GSM1594253,-4.898775e-07,-0.00041261874,0.00022108991,0.0006172164,-0.0003676253,9.1001544e-05,-5.5198227e-05,0.0001208752,-3.9737835e-05,-0.0003972092,1.5028438e-06,-0.00021158764,-4.490324e-08,-1.825928e-05,1.5200501e-06,-1.14024515e-05,5.6073965e-05,-5.9915605e-05,2.7175596e-05,-0.00019797121,-1.3889644e-05,-9.94113e-06,-7.247068e-05,0.00032623264,-0.000118544485,9.816178e-05
GSM1594267,-5.4084643e-07,-0.00042245514,0.00023866497,0.00062850304,-0.0003829882,9.7387434e-05,-5.4444634e-05,0.00012276285,-4.010742e-05,-0.000387371,1.5507287e-06,-0.00021617158,1.13488944e-07,-1.7776336e-05,2.0201487e-06,-1.1947063e-05,5.51746e-05,-5.8282334e-05,2.741135e-05,-0.00020549039,-1.5534946e-05,-1.0008119e-05,-7.69022e-05,0.0003272229,-0.00011863003,0.000106088395
