,root
R-HSA-400253,-0.7468713
R-HSA-392499,0.4327722
R-HSA-109582,-0.3648592
R-HSA-73894,-0.2279041
R-HSA-162582,0.6433031
R-HSA-1430728,-0.10667721
R-HSA-1474244,-0.42089763
R-HSA-8953897,-0.3973258
R-HSA-168256,-0.027377198
R-HSA-382551,-0.83219165
R-HSA-74160,-0.008366959
R-HSA-5653656,-0.5519563
R-HSA-112316,-0.06397068
R-HSA-4839726,-0.06707946
R-HSA-1474165,-0.09968383
R-HSA-1266738,0.20544721
R-HSA-1852241,-0.5888411
R-HSA-5357801,-0.34842968
R-HSA-8953854,-0.10203027
R-HSA-1640170,-0.59444124
R-HSA-5205647,0.70435464
R-HSA-1500931,0.2713222
R-HSA-69306,0.31101662
R-HSA-397014,0.64526105
R-HSA-8963743,1.2626103
R-HSA-1643685,-0.10246398
