,root
R-HSA-1640170,-0.27701706
R-HSA-1474244,0.45031923
R-HSA-69306,-0.38374245
R-HSA-8953897,-0.21553023
R-HSA-109582,0.08379578
R-HSA-112316,-0.114490874
R-HSA-8963743,-0.42243433
R-HSA-5205647,-0.48735243
R-HSA-73894,-0.7942852
R-HSA-392499,-0.51575536
R-HSA-1430728,0.31292173
R-HSA-397014,-0.38400435
R-HSA-162582,0.09487347
R-HSA-1500931,-0.06978778
R-HSA-1474165,0.02474004
R-HSA-74160,0.20084137
R-HSA-400253,-0.76376235
R-HSA-168256,-0.76880187
R-HSA-4839726,-1.2179483
R-HSA-1643685,-0.2795501
R-HSA-5357801,0.29445687
R-HSA-1852241,0.26900598
R-HSA-382551,0.85582364
R-HSA-1266738,0.3146395
R-HSA-8953854,0.7826491
R-HSA-5653656,-0.038735434
