,coef
R-HSA-211916,1.3412597e-07
R-HSA-211935,2.0800799e-07
R-HSA-211958,7.2084968e-06
R-HSA-211976,4.4279142e-07
R-HSA-211979,1.9475647e-06
R-HSA-211981,1.5908498e-07
R-HSA-2142670,2.9557853e-08
R-HSA-2142688,5.2145174e-07
R-HSA-2142691,2.309279e-06
R-HSA-2142696,2.0592242e-10
R-HSA-2142712,1.719866e-06
R-HSA-2142770,5.3054043e-07
R-HSA-2142816,1.12386786e-07
R-HSA-2162123,1.0433041e-06
R-HSA-2142850,0.00019182013
R-HSA-2160916,9.069036e-05
R-HSA-2173788,6.882305e-05
R-HSA-2173795,0.000624214
R-HSA-2173796,8.9436704e-05
R-HSA-2206280,0.0
R-HSA-2206282,0.0
R-HSA-2206285,0.0
R-HSA-2206290,0.0
R-HSA-2206291,0.0
R-HSA-2206292,0.0
R-HSA-2206296,0.0
R-HSA-2206302,0.0
R-HSA-2206305,0.0
R-HSA-2206307,0.0
R-HSA-2206308,0.0
R-HSA-2428933,1.3430757e-05
R-HSA-2466712,0.0
R-HSA-68881,3.9318656e-06
R-HSA-68882,0.000714341
R-HSA-2559584,1.2033841e-05
R-HSA-2644606,0.0005791713
R-HSA-2644607,1.30411645e-05
R-HSA-2660826,2.4909734e-06
R-HSA-2691232,3.918983e-06
R-HSA-2894862,5.2170526e-05
R-HSA-2980766,7.236121e-06
R-HSA-3108214,2.8890106e-06
R-HSA-3232118,2.4631256e-05
R-HSA-3232142,7.075285e-05
R-HSA-3899300,6.997585e-05
R-HSA-4085377,3.5782217e-05
R-HSA-4090294,4.4161497e-06
R-HSA-4551638,0.00043847528
R-HSA-4570464,3.5864618e-05
R-HSA-4615885,8.0280464e-05
R-HSA-4655427,4.5993635e-05
R-HSA-4755510,1.2200801e-06
R-HSA-3248023,0.0
R-HSA-3065676,9.334074e-06
R-HSA-3065678,8.8305364e-07
R-HSA-3065679,6.11428e-07
R-HSA-3229133,0.0
R-HSA-3274531,0.0
R-HSA-3282872,0.0
R-HSA-3785653,5.890283e-06
R-HSA-3814836,1.065106e-09
R-HSA-3828062,7.092724e-07
R-HSA-3858516,8.465369e-09
R-HSA-3878781,1.3211492e-09
R-HSA-5357609,0.0
R-HSA-3359454,0.0
R-HSA-3359457,0.0
R-HSA-3359458,0.0
R-HSA-3359462,0.0
R-HSA-3359463,0.0
R-HSA-3359467,0.0
R-HSA-3359469,0.0
R-HSA-3359471,0.0
R-HSA-3359473,5.72777e-07
R-HSA-3359474,1.3625097e-05
R-HSA-3359475,8.868498e-08
R-HSA-3359478,0.0
R-HSA-3359485,2.2023382e-07
R-HSA-3311021,2.6703438e-07
R-HSA-3304356,0.00026421613
R-HSA-3315487,0.00024372558
R-HSA-3371598,0.0
