,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
TFF2,0.0,0.0,0.0,-0.14887504,0.21565834
LSM4,2.601546e-06,2.0,2.601546e-06,-0.1350805,-0.21138504
BLOC1S6,4.4295334e-06,1.0,4.4295334e-06,-0.1253877,0.013871041
MAGEC1,0.0,0.0,0.0,-0.14887504,0.21565834
HAGH,0.0,0.0,0.0,-0.14887504,0.21565834
GUCA1A,0.0,0.0,0.0,-0.14887504,0.21565834
RAB9A,0.0,3.0,0.0,-0.14887504,-0.43954235
RER1,0.0,0.0,0.0,-0.14887504,0.21565834
CYTH2,5.9736463e-05,1.0,5.9736463e-05,0.16787392,0.22129929
ZNF346,0.0,0.0,0.0,-0.14887504,0.21565834
GHITM,0.0,0.0,0.0,-0.14887504,0.21565834
STRN3,0.0,0.0,0.0,-0.14887504,0.21565834
ZNF548,0.0,0.0,0.0,-0.14887504,0.21565834
ZBTB49,0.0,0.0,0.0,-0.14887504,0.21565834
MUTYH,1.974497e-08,3.0,1.974497e-08,-0.14877033,-0.4394683
ANG,0.0,0.0,0.0,-0.14887504,0.21565834
PIK3CB,3.9400435e-05,16.0,3.9400435e-05,0.060043365,-3.130974
SLC25A14,0.0,2.0,0.0,-0.14887504,-0.22114211
TSN,3.2777416e-13,1.0,3.2777416e-13,-0.14887504,-0.0027418935
ZNF276,0.0,0.0,0.0,-0.14887504,0.21565834
PSMC4,0.0053922297,46.0,0.000117222386,0.47268948,10.392768
REPS1,0.0,1.0,0.0,-0.14887504,-0.0027418935
DNAH6,0.0,0.0,0.0,-0.14887504,0.21565834
HOXB8,0.0,0.0,0.0,-0.14887504,0.21565834
CFL1,0.0,6.0,0.0,-0.14887504,-1.0947429
RNASEK,0.0,0.0,0.0,-0.14887504,0.21565834
LHPP,0.0,1.0,0.0,-0.14887504,-0.0027418935
NOP58,5.9891763e-06,3.0,5.9891763e-06,-0.1171178,-0.41708
MAGEB3,0.0,0.0,0.0,-0.14887504,0.21565834
VPS37C,4.7869683e-08,2.0,4.7869683e-08,-0.1486212,-0.2209626
NT5E,6.0436565e-11,1.0,6.0436565e-11,-0.14887471,-0.0027416633
SEZ6L,0.0,0.0,0.0,-0.14887504,0.21565834
ZC3H18,0.0,0.0,0.0,-0.14887504,0.21565834
SYT5,0.0,0.0,0.0,-0.14887504,0.21565834
NOD1,1.263207e-10,6.0,1.263207e-10,-0.14887437,-1.0947424
VGF,0.0,2.0,0.0,-0.14887504,-0.22114211
PXK,0.0,0.0,0.0,-0.14887504,0.21565834
SLC39A3,1.1281837e-07,1.0,1.1281837e-07,-0.14827682,-0.0023187753
PVALB,0.0,0.0,0.0,-0.14887504,0.21565834
FAM161B,0.0,0.0,0.0,-0.14887504,0.21565834
AP1G1,3.4662936e-11,4.0,3.4662936e-11,-0.14887485,-0.65794235
MDP1,0.0,0.0,0.0,-0.14887504,0.21565834
PAIP2B,0.0,0.0,0.0,-0.14887504,0.21565834
SERPINA9,0.0,0.0,0.0,-0.14887504,0.21565834
ZNF268,0.0,0.0,0.0,-0.14887504,0.21565834
TMTC2,0.0,0.0,0.0,-0.14887504,0.21565834
SNX18,0.0,0.0,0.0,-0.14887504,0.21565834
ARPP19,4.7469445e-11,1.0,4.7469445e-11,-0.14887479,-0.0027417208
AKAP11,0.0,0.0,0.0,-0.14887504,0.21565834
DDX10,0.0,0.0,0.0,-0.14887504,0.21565834
TANK,1.2246309e-13,3.0,1.2246309e-13,-0.14887504,-0.43954235
PXMP2,0.0,0.0,0.0,-0.14887504,0.21565834
ZYG11B,0.0,0.0,0.0,-0.14887504,0.21565834
CGREF1,0.0,0.0,0.0,-0.14887504,0.21565834
TRIM56,0.0,0.0,0.0,-0.14887504,0.21565834
MECOM,4.5173437e-07,2.0,4.5173437e-07,-0.14647974,-0.21944788
SMYD1,0.0,0.0,0.0,-0.14887504,0.21565834
BANF2,0.0,0.0,0.0,-0.14887504,0.21565834
SNCB,8.943936e-10,1.0,8.943936e-10,-0.14887029,-0.0027385405
SSX7,0.0,0.0,0.0,-0.14887504,0.21565834
HERC1,6.1171847e-13,1.0,6.1171847e-13,-0.14887504,-0.0027418935
TOMM20,6.263761e-07,3.0,6.263761e-07,-0.14555371,-0.43719313
