ind,Circadian Clock,Chromatin organization,Cell Cycle,DNA Repair,Cellular responses to external stimuli,Hemostasis,DNA Replication,Mitophagy,Signal Transduction,Programmed Cell Death,Extracellular matrix organization,Metabolism of RNA,Neuronal System,Vesicle-mediated transport,Disease,Developmental Biology,Cell-Cell communication,Metabolism of proteins,Reproduction,Gene expression (Transcription),Digestion and absorption,Transport of small molecules,Metabolism,Organelle biogenesis and maintenance,Immune System,Muscle contraction
TCGA-CV-5430-01A,-8.8849254e-07,4.302244e-06,2.8943105e-05,-8.885481e-05,-7.927204e-05,6.402669e-05,-0.00028079652,-7.972245e-05,0.00025941103,3.3873803e-05,-2.3481485e-05,0.00023376026,-3.062629e-05,-4.6179433e-05,0.00012732412,2.0632287e-06,0.0002273662,-0.0001220172,-5.695793e-06,-0.00010686934,-2.6918794e-09,-7.397154e-05,5.8064994e-05,-8.745164e-05,0.00021985474,1.3309101e-06
TCGA-CV-5978-01A,-8.737694e-07,7.830114e-06,4.2581585e-05,-0.00012315644,-7.762916e-05,6.169524e-05,-0.00031695815,-0.00015794554,0.00023514015,3.2148564e-05,-2.1648568e-05,0.00023603118,-3.3070868e-05,-4.522184e-05,0.0001068163,9.8551745e-06,0.00022645443,-0.00015240994,-4.6794275e-06,-8.3195235e-05,-2.6947449e-09,-7.3923235e-05,5.6673973e-05,-8.005522e-05,0.00023188604,4.91508e-07
TCGA-CV-7177-01A,-6.061098e-07,6.5483323e-06,5.2392956e-05,-0.00010815177,-7.39356e-05,5.5684075e-05,-0.0003108298,-0.00014869754,0.00024151153,3.1793934e-05,-2.1479382e-05,0.00022430505,-2.0103613e-05,-3.655966e-05,0.00010084418,3.0865704e-05,0.0002049642,-0.00011674554,-2.8526454e-06,-6.802176e-05,0.0,-0.00010282773,7.6214026e-05,-6.4414635e-05,0.00019884061,-4.881209e-07
TCGA-CV-7242-01A,-5.070046e-07,6.898537e-06,6.345056e-05,-9.270133e-05,-7.240027e-05,6.0355156e-05,-0.00027458154,-0.00011186293,0.00023268984,3.238243e-05,-1.5331474e-05,0.00024061627,-2.6980095e-05,-3.222768e-05,0.0001240459,1.1488577e-05,0.00021565483,-0.00010125798,-2.149236e-06,-7.0905735e-05,-3.5869732e-09,-8.204066e-05,7.1903894e-05,-8.416978e-05,0.00022987214,2.9487362e-06
TCGA-CV-7430-01A,-4.45589e-07,3.6092433e-06,4.4330376e-05,-8.588735e-05,-7.9227975e-05,6.167349e-05,-0.0002969809,-0.00013858902,0.00023351224,3.306011e-05,-2.0198118e-05,0.00027434705,-2.2740942e-05,-4.4487027e-05,0.00012714478,3.511472e-05,0.00018935854,-0.00013888157,-3.7989082e-06,-5.5256347e-05,-3.5888634e-09,-8.16442e-05,5.021665e-05,-5.8751208e-05,0.00020366053,8.8655366e-07
TCGA-BA-4078-01A,-6.115085e-07,4.2290935e-06,1.8608502e-05,-0.00012560528,-8.150014e-05,5.6228564e-05,-0.0003459121,-0.0001950274,0.0003014853,3.4248613e-05,-1.4091233e-05,0.00024005516,-2.7620777e-05,-4.5354707e-05,0.00010525915,1.351871e-05,0.00018817956,-0.00014250835,-4.508124e-06,-7.881143e-05,-1.7027164e-08,-7.918199e-05,6.511188e-05,-0.00010661349,0.0002419231,9.549857e-06
TCGA-BA-6869-01A,-2.2733728e-07,4.225749e-06,6.281678e-05,-9.401191e-05,-9.34498e-05,5.8311954e-05,-0.0002562513,-0.000110576184,0.00022660039,3.125676e-05,-1.40451975e-05,0.00023557212,-2.1464197e-05,-2.6084594e-05,0.00011977938,4.2747884e-05,0.00018799194,-9.696048e-05,-2.4059989e-06,-5.7648886e-05,-2.6909328e-09,-7.446638e-05,2.6710193e-05,-8.173278e-05,0.00020613069,7.918599e-06
TCGA-BA-6870-01A,-2.3455743e-07,3.4464383e-06,6.218422e-05,-8.591574e-05,-6.5415275e-05,4.8877293e-05,-0.00022338088,-7.2856914e-05,0.00024151459,3.3146047e-05,-2.0690683e-05,0.00022442949,-2.5313644e-05,-3.3334978e-05,0.00011031082,2.1116855e-05,0.00010616967,-5.1220704e-05,-1.8060748e-06,-9.073816e-05,2.689293e-09,-2.5277346e-05,7.704528e-05,-4.1137166e-05,0.0002087638,7.90529e-08
TCGA-CN-4739-01A,-5.735753e-07,7.1515296e-06,4.106567e-05,-9.9850506e-05,-7.448572e-05,6.3840096e-05,-0.00031793574,-7.947634e-05,0.00023331802,3.3354958e-05,-1.7416847e-05,0.00023815046,-3.734077e-05,-4.0341234e-05,0.00011281101,3.2110696e-05,0.00019260823,-9.2877686e-05,-3.424936e-06,-5.7489604e-05,-1.1664163e-08,-7.652736e-05,4.1807773e-05,-7.337146e-05,0.00021355365,4.6741374e-07
TCGA-CN-5363-01A,-8.870804e-07,8.879384e-06,3.7559188e-05,-0.00010520376,-8.2086786e-05,5.624237e-05,-0.00032995356,-0.0001232372,0.0003216656,3.4740347e-05,-2.5533753e-05,0.0002408687,-2.9974413e-05,-4.9772036e-05,0.0001266432,2.4583118e-05,0.00018492581,-9.43866e-05,-3.4752243e-06,-9.374228e-05,4.483981e-09,-5.0040675e-05,4.8676386e-05,-6.6175075e-05,0.0002659622,1.9289052e-08
