ind,Chromatin organization,Reproduction,DNA Repair,Vesicle-mediated transport,Hemostasis,Developmental Biology,Metabolism,Metabolism of RNA,Signal Transduction,Circadian Clock,Metabolism of proteins,Muscle contraction,Mitophagy,Cell Cycle,Disease,DNA Replication,Transport of small molecules,Organelle biogenesis and maintenance,Programmed Cell Death,Extracellular matrix organization,Cellular responses to external stimuli,Digestion and absorption,Gene expression (Transcription),Immune System,Cell-Cell communication,Neuronal System
GSM1594943,-0.0008286176,-3.9877086e-06,-7.033035e-05,2.9916284e-05,2.7425779e-06,-1.0764691e-07,-0.00018412773,-2.0322434e-05,2.169022e-07,-1.8954145e-08,5.883396e-05,-6.009033e-07,-3.4018537e-09,-0.00013008912,-5.258387e-06,2.9018167e-06,-1.4125735e-05,9.722886e-06,-5.2088482e-05,1.8520191e-06,1.9960484e-05,4.706594e-08,6.9424845e-05,3.3836583e-05,-1.1756891e-06,2.8174184e-06
GSM1595080,-0.0007804394,-8.108648e-06,-8.305669e-05,4.6576894e-05,2.5869201e-06,4.15439e-08,-0.00017699525,-1.7456561e-05,1.7481882e-07,-1.7381813e-08,6.354362e-05,6.3127345e-08,-3.4426726e-09,-0.00012035934,-5.0576336e-06,3.1438456e-06,-6.031864e-06,8.955002e-06,-5.3713477e-05,1.7667451e-06,2.7085447e-05,4.18332e-08,6.950997e-05,3.638926e-05,-1.0085625e-06,2.4720823e-06
GSM1594221,-0.0007887031,3.5352977e-07,-7.649039e-05,3.717235e-05,2.5297857e-06,1.0709281e-06,-0.00018233406,-1.706993e-05,2.08972e-07,-1.8216305e-08,6.0917966e-05,-5.6813274e-08,-3.5879422e-09,-0.0001249221,-5.0260323e-06,2.9555997e-06,-1.0811824e-05,9.444064e-06,-5.5674365e-05,1.769382e-06,2.8846222e-05,3.9653457e-08,7.163565e-05,2.6955577e-05,-9.578224e-07,2.6430014e-06
GSM1594226,-0.0008298517,5.2769738e-06,-7.342143e-05,3.2226755e-05,2.4803526e-06,8.5604006e-07,-0.00018587794,-2.0213225e-05,2.2543777e-07,-1.7630594e-08,7.030817e-05,-5.768001e-07,-3.618332e-09,-0.00013349717,-5.0983617e-06,2.6144007e-06,-1.1070571e-05,8.803436e-06,-5.4084183e-05,1.6511336e-06,2.8874802e-05,3.268478e-08,7.399e-05,3.0362076e-05,-9.733579e-07,2.6166556e-06
GSM1594266,-0.0007754801,3.3370457e-06,-7.3930234e-05,3.4412493e-05,2.5259e-06,3.710681e-07,-0.00018070944,-1.7682172e-05,1.913592e-07,-1.7631754e-08,6.575028e-05,-8.6309683e-07,-3.5500003e-09,-0.00013963543,-4.896857e-06,2.7498352e-06,-1.14258455e-05,9.903689e-06,-5.4759294e-05,1.6237875e-06,3.1591528e-05,3.529569e-08,6.943015e-05,2.7684517e-05,-9.798663e-07,2.525599e-06
GSM1594272,-0.00077165884,4.740941e-06,-7.265221e-05,3.6237172e-05,3.1154982e-06,2.1956318e-07,-0.00017597133,-2.1658812e-05,2.2920655e-07,-1.7863243e-08,6.192906e-05,-5.9852965e-07,-3.5198988e-09,-0.00012316792,-4.923836e-06,2.9947105e-06,-1.1238228e-05,7.881934e-06,-5.351808e-05,1.7651191e-06,2.6841644e-05,3.573059e-08,7.125961e-05,3.2966414e-05,-1.0225647e-06,2.4059311e-06
GSM1594358,-0.000785917,-5.5315045e-06,-7.159646e-05,3.555128e-05,2.8405589e-06,8.579321e-07,-0.00018520406,-1.6421438e-05,1.9575045e-07,-1.8052503e-08,6.713152e-05,-8.608114e-08,-3.4441883e-09,-0.00013326842,-4.7599037e-06,3.2213811e-06,-1.2409587e-05,8.851064e-06,-5.4369622e-05,1.7288335e-06,2.3065882e-05,3.7039122e-08,7.2813935e-05,3.107619e-05,-1.0427223e-06,2.6125156e-06
GSM1594438,-0.00083679915,-8.3467444e-07,-7.908332e-05,3.3854736e-05,2.5586842e-06,1.1824483e-06,-0.00019155318,-1.7384375e-05,2.0321664e-07,-1.7457534e-08,6.876195e-05,-6.30754e-07,-3.7052614e-09,-0.00013150649,-5.1930824e-06,2.9405119e-06,-1.0716722e-05,9.96595e-06,-5.5061766e-05,1.7649845e-06,2.6078915e-05,3.660721e-08,7.139256e-05,3.087422e-05,-1.0723277e-06,2.7887577e-06
GSM1594455,-0.00080705195,-2.3068433e-06,-6.885198e-05,3.76073e-05,2.5784072e-06,2.8275628e-07,-0.00017995643,-1.750426e-05,2.3387945e-07,-1.9026976e-08,6.918834e-05,3.1850715e-07,-3.431624e-09,-0.00012682934,-4.9483674e-06,2.985419e-06,-1.2344804e-05,9.518024e-06,-5.5038603e-05,1.7032359e-06,2.1773629e-05,4.444792e-08,7.223544e-05,3.571675e-05,-1.1160652e-06,2.6770924e-06
GSM1594501,-0.0008131397,1.8307519e-06,-7.0853195e-05,3.9969367e-05,2.866055e-06,1.4315053e-07,-0.00017974846,-1.7532118e-05,2.6334973e-07,-1.7987212e-08,6.9298934e-05,-4.2408467e-07,-3.4678185e-09,-0.00013223263,-5.048068e-06,2.7782007e-06,-1.0658139e-05,9.04679e-06,-5.5064193e-05,1.6515133e-06,2.581603e-05,4.1831594e-08,7.197643e-05,3.2809436e-05,-1.0438041e-06,2.7041651e-06
