,root
R-HSA-4839726,-0.8288518
R-HSA-1474165,0.8481264
R-HSA-73894,-1.1808926
R-HSA-5653656,-0.77318627
R-HSA-109582,0.107993916
R-HSA-1266738,-0.13272528
R-HSA-1430728,-0.42348215
R-HSA-8953854,-0.42670172
R-HSA-162582,-0.0003989711
R-HSA-400253,-0.016617049
R-HSA-392499,0.5047891
R-HSA-397014,-0.3854848
R-HSA-5205647,-0.0042450316
R-HSA-1640170,-0.07243671
R-HSA-1643685,-0.0151869515
R-HSA-69306,0.18160953
R-HSA-382551,-0.873958
R-HSA-1852241,-0.32572553
R-HSA-5357801,-0.8917653
R-HSA-1474244,-0.25700966
R-HSA-8953897,0.21504666
R-HSA-8963743,0.29270646
R-HSA-74160,0.34120587
R-HSA-168256,0.31116655
R-HSA-1500931,0.37029925
R-HSA-112316,-0.06956389
