,coef
CHKB,9.883149e-05
LRRC4B,0.00015743796
HLA-A,0.006015019
CNN2,0.0046650036
HSF2,0.0
PRKAA1,0.0007175407
ANXA7,0.0
ASB13,0.001694559
ZNF551,0.0
DNAJB14,0.0
AP4M1,7.8772007e-07
DLG4,0.0012153488
EMB,0.0030179427
BRCC3,0.0063482067
NUP214,0.0073726783
OR6Q1,2.2593383e-06
SGSM1,0.0
SMG8,6.669012e-06
KCTD10,0.0
AMER3,0.0
PIWIL4,9.042826e-05
GPR149,0.0
GLI1,2.1766442e-05
EMC9,0.0
FOXRED1,0.0
TCFL5,0.0
RNFT1,0.0
FOXJ3,0.0
TAS1R3,0.0006519452
CD82,0.0
SUFU,0.00050678506
SRA1,0.0
KRTAP10-8,0.0
CENPO,0.0029690664
COMMD2,0.001628257
ZNF562,0.0
DACH1,0.0
F9,3.2436233e-06
DPH7,0.0017425223
RASSF8,0.0
MTOR,0.0023555916
SIKE1,3.477304e-13
FSCN3,0.0
L3MBTL2,2.4035171e-05
METTL22,9.966257e-05
RPL15,0.00839927
BCAR3,0.0
NFKBIA,0.008681428
SLC31A1,0.0
SNX5,3.977768e-05
GHRHR,1.6369577e-05
NCL,0.0
CAPZA2,0.008087292
ORC1,0.0004800696
SLC3A2,0.041564245
CSE1L,0.0
DSPP,2.6341155e-05
OR5A2,0.00026008853
XIAP,0.009995188
NOMO1,0.0
RNF133,0.0
KPNA5,0.0009106216
TULP4,2.8891205e-05
PURB,0.0
MPP2,0.0
C5AR2,0.00014354679
DHX33,0.0
UBE2L6,0.010592401
ZNF763,0.0
GNAQ,0.002660134
DNASE2,2.9184139e-06
MMGT1,0.0001579215
TPGS1,0.00018472588
TDO2,0.00015459927
TRIM36,2.074849e-05
HARBI1,0.0
NLGN2,0.0012669227
ABHD14B,0.0
ABCC12,0.0
NEURL1B,0.004593363
NANOGNB,0.0
DYNLT3,0.0
LDLRAP1,0.00018205753
TUBB2B,0.00905509
TMEM80,0.0
GNL3L,0.0
ZNF519,0.0
ITGA2B,0.0026615392
TIE1,0.0
UBE2V2,0.004121812
GPAM,0.012608117
KAT5,0.0025709514
F13B,4.7238177e-06
KLHL34,0.0
SMARCAD1,0.0
CLEC4M,0.0
RAB4A,0.04455217
RRAS,0.0025385371
SLC30A4,0.0
DHRS7C,0.0
SNX12,0.0
RNF5,0.005202918
IQCC,0.0
FAM135B,0.0
SLC2A1,0.0003357761
ELAVL1,0.00589251
DPY19L1,0.0
IGF2BP1,0.00010246985
POMT2,0.0
GALNT11,0.0
GCSAM,0.0
PCMTD1,0.0
ESRRG,0.00050862523
TRIM11,1.9034429e-06
EFCAB11,0.0
TMEM8B,0.0
TM2D2,0.0
DIS3,0.0039420533
PNOC,0.0033601727
PPY,0.00047027002
GPC3,0.005623263
REPS1,9.821987e-06
ZSWIM4,0.0
ZKSCAN5,0.0
OAF,0.0
SPDYA,0.0
ZNF771,0.0
SNAPC3,0.04638791
