ind,Transport of small molecules,Metabolism,Cellular responses to external stimuli,DNA Replication,Neuronal System,Cell-Cell communication,Programmed Cell Death,Cell Cycle,Circadian Clock,Organelle biogenesis and maintenance,Vesicle-mediated transport,Metabolism of proteins,Digestion and absorption,Immune System,Extracellular matrix organization,Signal Transduction,Gene expression (Transcription),DNA Repair,Developmental Biology,Chromatin organization,Mitophagy,Metabolism of RNA,Reproduction,Disease,Hemostasis,Muscle contraction
TCGA-EL-A3H2-11A,-0.00053674565,0.00032573292,-4.5247914e-05,-0.0009845069,4.0272935e-05,-4.049604e-05,-0.00036669392,-0.00019533117,3.0052374e-06,-5.4305405e-05,-0.00011802502,-0.0007090261,-5.2301453e-05,-0.00056029396,-0.0011389812,2.447892e-06,-0.00070719165,0.00026585776,6.0635695e-05,0.00018183533,5.648922e-05,-0.0031189183,7.421557e-05,0.00019354637,0.0009873661,0.00023776943
TCGA-EL-A3H7-01A,-0.00037703037,0.0005985154,-0.00014492264,-0.00057647354,9.957036e-06,-7.1290146e-05,-5.8329217e-05,-0.00026786307,4.0248124e-06,-9.751811e-06,-0.00015827337,-0.0008696704,-4.0163228e-05,-0.0005820402,-0.0013867579,0.00077547494,-0.0006428248,0.00022650519,-1.891032e-05,0.00017260728,5.435328e-05,-0.002946168,7.467543e-05,5.7718808e-05,0.0011049982,0.000142624
TCGA-EL-A3H8-01A,-0.00044471977,0.00040263523,-4.376306e-05,-0.0008259883,-1.5667449e-05,-5.2205254e-05,-0.00018276703,-0.0002726624,4.823898e-06,-4.6970094e-05,-0.00016702841,-0.00095822295,-4.1570063e-05,-0.00062710105,-0.0017674975,0.0024090856,-0.00029284623,0.00026343056,3.1976262e-05,0.00017819664,5.650168e-05,-0.0030451377,8.064326e-05,0.0002342039,0.0013193301,0.0002689364
TCGA-EL-A3MY-01A,-0.00041843994,0.0010440333,-0.00010202514,-0.000950611,-1.6275443e-07,-6.59847e-05,-0.00014774947,-0.00024752118,4.9411483e-06,-2.9294775e-05,-0.00015073975,-0.0013153399,-6.16461e-05,-0.0006673968,-0.0020000362,0.003933371,-0.0008561685,0.0002506467,-2.9624734e-05,0.00017886283,5.5358923e-05,-0.0030845334,8.200185e-05,0.00012645245,0.0011957336,0.00015719853
TCGA-EL-A3MY-11A,-0.0005046247,0.00091825024,-3.8883387e-05,-0.0009811899,3.074331e-05,-4.101114e-05,-0.00028177936,-0.00014891766,2.1732887e-06,-4.794639e-05,-0.0001021587,-0.00088928436,-4.2255168e-05,-0.0005731669,-0.0012552901,0.0015555756,-0.00034832433,0.0003276352,6.0480997e-05,0.0001714076,5.9700196e-05,-0.003185816,7.57075e-05,0.00017372372,0.001036673,0.00028861937
TCGA-EL-A3N2-01A,-0.00042359228,0.0010723423,-0.000103649254,-0.0006711098,-1.6152231e-05,-5.6262557e-05,-8.246896e-07,-0.00027841577,4.953253e-06,-2.0223608e-05,-0.00012520466,-0.0010858104,-7.774464e-05,-0.00050392863,-0.0012657541,0.0021226218,-0.00086642156,0.0002919187,4.7465775e-05,0.00016655383,5.353004e-05,-0.002942089,7.6259435e-05,8.5080814e-05,0.0011443921,0.0001321296
TCGA-EL-A3T1-01A,-0.0004178063,0.00043043887,-0.00012998661,-0.00061610626,-1.2902395e-05,-6.0843187e-05,-0.000108871325,-0.000268447,5.2542728e-06,-1.8356137e-05,-0.0001492009,-0.0007175318,-5.7098547e-05,-0.00054620655,-0.0014423059,0.00047508016,-0.0005248694,0.00027067325,2.0574756e-05,0.00017478874,4.6046644e-05,-0.002939543,7.6466466e-05,0.00010996491,0.0012225084,0.00014346984
TCGA-EL-A3T7-01A,-0.00026808726,0.0004015023,-0.00010094304,-0.00064870337,2.6451404e-05,-5.765361e-05,-0.00024834674,-0.00024411343,4.510769e-06,-3.931068e-05,-0.00016786388,-0.0012228579,-5.507232e-05,-0.00068974716,-0.0020004103,0.003511843,-0.0005859506,0.00021191372,1.843426e-05,0.00018112018,5.3125266e-05,-0.002951291,7.828269e-05,0.00023750684,0.0012170844,0.00024216835
TCGA-EL-A3T8-01A,-0.0004050571,0.0003707188,-6.416613e-05,-0.00094505784,-1.4747199e-05,-7.002871e-05,-0.0002383208,-0.00028115357,4.3606474e-06,-3.678798e-05,-0.00016652759,-0.0009584058,-6.0044345e-05,-0.00052387815,-0.0018377206,0.002767741,-0.00075034145,0.00019499149,8.652376e-05,0.00018249551,5.5260196e-05,-0.0029522104,7.779247e-05,4.5666573e-05,0.0013893269,0.00019530425
TCGA-EL-A3T9-01A,-0.00010280318,-0.0006768545,-0.000106131316,-0.00066000887,-3.7530343e-05,-6.999151e-05,-8.822991e-05,-0.00017737443,4.826354e-06,-4.1557094e-05,-0.0001008117,-0.0011799049,-3.487043e-05,-0.00069098274,-0.0015830705,0.0035607312,-0.0008155995,0.00033906943,-7.706345e-06,0.00018448476,5.1523013e-05,-0.003046803,7.649932e-05,9.894381e-05,0.00083455315,0.00014942032
TCGA-EL-A3TB-11A,-0.00051177084,0.00019818911,-8.373865e-05,-0.00080944144,6.579885e-05,-4.2869273e-05,-0.0003144613,-0.00017867857,3.5448807e-06,-4.5967223e-05,-0.00013036969,-0.0012005363,-3.731949e-05,-0.00063725206,-0.001257201,0.001948933,-0.0003107019,0.00027097654,5.7552825e-05,0.00018181285,5.652397e-05,-0.00309747,7.1934395e-05,7.958386e-05,0.0011168573,0.0002878871
TCGA-EL-A3ZG-01A,-0.0004399421,9.0061796e-05,-0.00018433071,-0.0010701611,0.00010147735,-5.785437e-05,6.518011e-05,-0.00023418346,5.141977e-06,-3.7648475e-05,-0.00015756123,-0.0008591476,-5.477694e-05,-0.0005638277,-0.0017621286,-0.0008153473,-0.000734841,0.0003129051,7.104696e-05,0.00018303629,5.122877e-05,-0.003052876,7.1960545e-05,8.538308e-05,0.0011866727,0.00023633902
TCGA-EL-A3ZO-11A,-0.00048954587,0.00071473786,-9.400021e-05,-0.0007840963,7.066268e-05,-5.5862813e-05,-0.00034032355,-0.00019475969,2.2628606e-06,-4.9743012e-05,-0.0001323333,-0.0013798045,-7.307214e-05,-0.0005667503,-0.001206255,0.0014625583,-0.00036293862,0.00021652895,1.4881726e-05,0.0001727364,6.100376e-05,-0.0028870867,6.690964e-05,3.396815e-05,0.0010893989,0.00026363874
TCGA-EL-A3ZQ-01A,-0.0002543231,-0.0026799578,-0.00020539874,-0.0008384062,1.8835877e-05,-6.1019673e-05,2.782418e-06,-0.0003781106,3.503854e-06,-2.707879e-05,-0.00020462878,-0.0011979993,-3.962624e-05,-0.00039778795,-0.0011657528,0.002402644,-4.4200202e-05,0.00067052245,5.1247032e-05,0.00015475217,5.5556917e-05,-0.0033167973,5.0832223e-05,-8.809243e-05,0.0011530592,0.00012493094
TCGA-EL-A4K0-01A,-9.264385e-05,0.00055506435,-4.048445e-05,-0.0007601738,-1.0859821e-05,-7.042871e-05,-0.00019841653,-0.00027103449,5.0654553e-06,-3.4839788e-05,-0.00017071141,-0.0010043096,-7.640856e-05,-0.0007309389,-0.0023947477,0.0038786943,-0.0005837137,0.0002361854,5.1606796e-05,0.00017986816,4.893901e-05,-0.0030042625,8.292952e-05,0.00015096088,0.001292543,0.00031721374
