,R-HSA-382551,R-HSA-1430728,R-HSA-8953897,R-HSA-69306,R-HSA-112316,R-HSA-1500931,R-HSA-5357801,R-HSA-1640170,R-HSA-400253,R-HSA-1852241,R-HSA-5653656,R-HSA-392499,R-HSA-8963743,R-HSA-168256,R-HSA-1474244,R-HSA-162582,R-HSA-74160,R-HSA-73894,R-HSA-1266738,R-HSA-4839726,R-HSA-5205647,R-HSA-8953854,R-HSA-1474165,R-HSA-1643685,R-HSA-109582,R-HSA-397014
TCGA-BJ-A3F0-01A,-0.021,-0.034,-0.029,-0.006,0.049,-0.065,-0.058,-0.017,-0.008,0.027,-0.03,0.052,-0.037,-0.013,-0.038,-0.034,-0.087,-0.026,-0.081,-0.027,0.022,-0.031,0.015,0.002,-0.01,-0.052
TCGA-BJ-A3PT-01A,-0.022,-0.025,-0.029,-0.002,0.048,-0.065,-0.057,-0.017,-0.008,0.027,-0.027,0.047,-0.035,-0.012,-0.037,-0.05,-0.087,-0.023,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.051
TCGA-BJ-A3PU-11A,-0.021,-0.02,-0.03,-0.001,0.047,-0.065,-0.056,-0.018,-0.008,0.026,-0.029,0.05,-0.033,-0.011,-0.041,-0.034,-0.089,-0.021,-0.082,-0.027,0.022,-0.03,0.015,0.004,-0.01,-0.053
TCGA-CE-A3MD-01A,-0.023,-0.023,-0.029,-0.001,0.046,-0.064,-0.057,-0.017,-0.008,0.028,-0.026,0.049,-0.031,-0.012,-0.039,-0.024,-0.083,-0.021,-0.082,-0.027,0.022,-0.029,0.015,0.002,-0.008,-0.051
TCGA-CE-A3ME-01A,-0.022,-0.016,-0.03,-0.004,0.048,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.048,-0.033,-0.012,-0.039,-0.032,-0.089,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.052
TCGA-CE-A481-01A,-0.023,-0.018,-0.03,-0.001,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.049,-0.032,-0.007,-0.037,-0.024,-0.086,-0.021,-0.082,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.051
TCGA-CE-A483-01A,-0.022,-0.02,-0.03,-0.002,0.048,-0.065,-0.057,-0.017,-0.008,0.029,-0.027,0.05,-0.033,-0.013,-0.038,-0.034,-0.088,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.004,-0.01,-0.049
TCGA-DE-A0XZ-01A,-0.024,-0.024,-0.03,-0.004,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.052,-0.032,-0.009,-0.041,-0.019,-0.083,-0.022,-0.083,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.05
TCGA-DE-A0Y3-01B,-0.022,-0.017,-0.03,-0.006,0.047,-0.065,-0.057,-0.017,-0.008,0.029,-0.03,0.046,-0.035,-0.015,-0.041,-0.033,-0.091,-0.021,-0.08,-0.027,0.022,-0.029,0.015,0.004,-0.01,-0.049
TCGA-DE-A4M8-01A,-0.023,-0.024,-0.029,-0.006,0.046,-0.065,-0.056,-0.017,-0.008,0.029,-0.027,0.05,-0.035,-0.009,-0.039,-0.042,-0.088,-0.022,-0.082,-0.027,0.022,-0.028,0.015,0.003,-0.009,-0.051
TCGA-DE-A4MB-01A,-0.022,-0.017,-0.03,-0.007,0.045,-0.065,-0.057,-0.017,-0.008,0.029,-0.031,0.052,-0.035,-0.011,-0.041,-0.038,-0.086,-0.023,-0.08,-0.027,0.022,-0.029,0.015,0.003,-0.012,-0.051
TCGA-DE-A4MD-06A,-0.022,-0.029,-0.029,-0.003,0.047,-0.065,-0.056,-0.016,-0.008,0.028,-0.029,0.05,-0.034,-0.013,-0.038,-0.052,-0.087,-0.023,-0.082,-0.027,0.022,-0.03,0.015,0.002,-0.009,-0.051
TCGA-DE-A69J-01A,-0.023,-0.02,-0.03,-0.001,0.046,-0.065,-0.058,-0.017,-0.008,0.027,-0.027,0.048,-0.034,-0.012,-0.032,-0.025,-0.088,-0.022,-0.082,-0.027,0.022,-0.03,0.015,0.005,-0.01,-0.05
TCGA-DJ-A13M-01A,-0.022,-0.022,-0.029,-0.001,0.049,-0.065,-0.057,-0.017,-0.008,0.026,-0.028,0.047,-0.036,-0.015,-0.038,-0.051,-0.088,-0.025,-0.083,-0.027,0.022,-0.03,0.015,0.004,-0.01,-0.051
TCGA-DJ-A13O-01A,-0.022,-0.02,-0.029,-0.005,0.048,-0.065,-0.056,-0.017,-0.008,0.027,-0.029,0.053,-0.036,-0.013,-0.04,-0.041,-0.088,-0.023,-0.082,-0.027,0.022,-0.03,0.015,0.002,-0.01,-0.051
TCGA-DJ-A13O-01A,-0.022,-0.02,-0.029,-0.005,0.048,-0.065,-0.056,-0.017,-0.008,0.027,-0.029,0.053,-0.036,-0.013,-0.04,-0.041,-0.088,-0.023,-0.082,-0.027,0.022,-0.03,0.015,0.002,-0.01,-0.051
TCGA-DJ-A13P-01A,-0.023,-0.022,-0.03,-0.003,0.046,-0.065,-0.057,-0.018,-0.008,0.027,-0.027,0.053,-0.036,-0.011,-0.04,-0.025,-0.087,-0.023,-0.083,-0.027,0.022,-0.029,0.015,0.004,-0.008,-0.052
TCGA-DJ-A13P-01A,-0.023,-0.022,-0.03,-0.003,0.046,-0.065,-0.057,-0.018,-0.008,0.027,-0.027,0.053,-0.036,-0.011,-0.04,-0.025,-0.087,-0.023,-0.083,-0.027,0.022,-0.029,0.015,0.004,-0.008,-0.052
TCGA-DJ-A13T-01A,-0.023,-0.02,-0.03,-0.002,0.046,-0.065,-0.057,-0.018,-0.008,0.027,-0.027,0.051,-0.037,-0.011,-0.035,-0.032,-0.089,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.005,-0.008,-0.051
TCGA-DJ-A13X-01A,-0.023,-0.019,-0.03,-0.004,0.046,-0.065,-0.056,-0.018,-0.008,0.028,-0.027,0.048,-0.034,-0.012,-0.033,-0.034,-0.089,-0.022,-0.082,-0.027,0.022,-0.03,0.015,0.006,-0.008,-0.053
TCGA-DJ-A1QG-01A,-0.023,-0.023,-0.03,-0.003,0.047,-0.065,-0.057,-0.017,-0.008,0.029,-0.028,0.051,-0.037,-0.014,-0.036,-0.051,-0.089,-0.022,-0.082,-0.027,0.022,-0.032,0.015,0.004,-0.009,-0.05
TCGA-DJ-A1QH-01A,-0.023,-0.019,-0.03,-0.003,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.048,-0.034,-0.011,-0.035,-0.026,-0.088,-0.022,-0.082,-0.027,0.022,-0.03,0.015,0.005,-0.009,-0.05
TCGA-DJ-A1QL-01A,-0.022,-0.03,-0.03,0.001,0.048,-0.065,-0.056,-0.017,-0.008,0.026,-0.028,0.048,-0.033,-0.013,-0.04,-0.022,-0.087,-0.021,-0.082,-0.027,0.022,-0.03,0.015,0.003,-0.01,-0.052
TCGA-DJ-A1QM-01A,-0.023,-0.023,-0.03,-0.006,0.047,-0.065,-0.057,-0.018,-0.008,0.028,-0.028,0.056,-0.037,-0.012,-0.037,-0.022,-0.089,-0.022,-0.081,-0.027,0.022,-0.029,0.015,0.004,-0.01,-0.052
TCGA-DJ-A1QN-01A,-0.023,-0.026,-0.03,-0.003,0.046,-0.065,-0.057,-0.017,-0.008,0.027,-0.027,0.052,-0.033,-0.011,-0.039,-0.015,-0.085,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.052
TCGA-DJ-A1QO-01A,-0.023,-0.023,-0.03,-0.008,0.046,-0.065,-0.057,-0.017,-0.008,0.029,-0.028,0.051,-0.036,-0.012,-0.038,-0.037,-0.088,-0.022,-0.08,-0.027,0.022,-0.029,0.015,0.002,-0.01,-0.051
TCGA-DJ-A1QQ-01A,-0.023,-0.02,-0.03,-0.006,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.05,-0.035,-0.009,-0.032,-0.029,-0.088,-0.021,-0.081,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.052
TCGA-DJ-A2PT-01A,-0.023,-0.024,-0.029,-0.004,0.046,-0.064,-0.057,-0.017,-0.008,0.028,-0.028,0.048,-0.035,-0.011,-0.039,-0.03,-0.088,-0.022,-0.081,-0.027,0.022,-0.03,0.015,0.002,-0.009,-0.051
TCGA-DJ-A2PU-01A,-0.023,-0.025,-0.03,-0.002,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.048,-0.035,-0.01,-0.032,-0.019,-0.091,-0.022,-0.083,-0.027,0.022,-0.03,0.015,0.005,-0.008,-0.053
TCGA-DJ-A2PY-01A,-0.023,-0.018,-0.03,-0.002,0.046,-0.065,-0.057,-0.018,-0.008,0.028,-0.028,0.05,-0.033,-0.009,-0.035,-0.023,-0.088,-0.023,-0.082,-0.027,0.022,-0.03,0.015,0.003,-0.008,-0.051
