,coef
R-HSA-2142850,0.001428415
R-HSA-2160916,0.005603552
R-HSA-2173788,0.00076596515
R-HSA-2173795,0.0063699326
R-HSA-2173796,0.007115936
R-HSA-2206280,0.0
R-HSA-2206282,0.0
R-HSA-2206285,0.0
R-HSA-2206290,0.0
R-HSA-2206291,0.0
R-HSA-2206292,0.0
R-HSA-2206296,0.0
R-HSA-2206302,0.0
R-HSA-2206305,0.0
R-HSA-2206307,0.0
R-HSA-2206308,0.0
R-HSA-2428933,0.0045309276
R-HSA-2466712,0.00049783365
R-HSA-68881,6.899861e-05
R-HSA-68882,0.0016200314
R-HSA-2559584,0.000514852
R-HSA-2644606,0.0019834868
R-HSA-2644607,0.00097069336
R-HSA-2660826,0.003544045
R-HSA-2691232,0.0010975512
R-HSA-2894862,0.001890516
R-HSA-2980766,0.04573234
R-HSA-3108214,0.0016810216
R-HSA-3232118,0.00015261493
R-HSA-3232142,0.0001806422
R-HSA-3899300,0.00016634207
R-HSA-4085377,0.00017882767
R-HSA-4090294,0.00020057251
R-HSA-4551638,0.00044502856
R-HSA-4570464,9.52151e-05
R-HSA-4615885,0.00020285252
R-HSA-4655427,0.00019525542
R-HSA-4755510,0.00035854176
R-HSA-3248023,0.0
R-HSA-3065676,0.010742691
R-HSA-3065678,0.012953932
R-HSA-3065679,0.0015360728
R-HSA-3229133,0.0
R-HSA-3274531,0.0
R-HSA-3282872,0.0
R-HSA-3785653,0.0013021551
R-HSA-3814836,0.0023228468
R-HSA-3828062,0.003238471
R-HSA-3858516,8.2783336e-05
R-HSA-3878781,0.0011238963
R-HSA-5357609,0.00033786948
R-HSA-3359454,0.007326336
R-HSA-3359457,0.0
R-HSA-3359458,0.0
R-HSA-3359462,0.0
R-HSA-3359463,0.0
R-HSA-3359467,5.6776025e-05
R-HSA-3359469,0.007004635
R-HSA-3359471,0.0
R-HSA-3359473,0.004005803
R-HSA-3359474,5.259253e-05
R-HSA-3359475,0.00027061187
R-HSA-3359478,0.0
R-HSA-3359485,0.0028719243
R-HSA-3311021,0.0003870227
R-HSA-3304356,0.003040483
R-HSA-3315487,0.001066934
R-HSA-3371598,0.0
R-HSA-3371599,0.005659463
R-HSA-3371568,0.0021028249
R-HSA-3642279,2.2565325e-06
R-HSA-3645790,0.00028619872
R-HSA-3656532,0.00015085185
R-HSA-3656535,0.0005391333
R-HSA-5628897,0.004880817
R-HSA-5633007,0.007905165
R-HSA-5633008,0.0025404368
R-HSA-6791312,0.002441951
R-HSA-6796648,0.0002827146
R-HSA-3296197,0.0
R-HSA-375276,0.038971737
R-HSA-375280,0.00158079
R-HSA-375281,0.0057440014
R-HSA-391903,0.0064341826
R-HSA-418038,0.022180356
R-HSA-419408,0.003936888
R-HSA-419771,0.012034512
R-HSA-444209,2.1051273e-10
R-HSA-419812,0.015157348
R-HSA-420092,0.018492699
R-HSA-379397,7.758483e-05
R-HSA-379398,4.7847214e-05
R-HSA-380287,0.022119623
R-HSA-380612,0.0
R-HSA-389357,0.0029198872
R-HSA-389359,0.0026400134
R-HSA-389957,0.0044629583
R-HSA-389960,0.041120183
R-HSA-390450,0.0016587476
R-HSA-389599,0.01162772
R-HSA-389887,0.024467308
R-HSA-390247,0.0005060903
R-HSA-392451,0.15714516
R-HSA-418217,0.52271456
R-HSA-399719,0.00029222106
R-HSA-399710,1.1434564e-07
R-HSA-434316,0.008348602
R-HSA-416550,5.3136426e-07
R-HSA-416572,6.998803e-05
R-HSA-4608870,0.00056508137
R-HSA-5099900,0.0014924261
R-HSA-5140745,0.00014118396
R-HSA-881907,0.011755791
R-HSA-381753,0.085747354
R-HSA-420597,0.0024381017
R-HSA-432720,5.7028315e-06
R-HSA-432722,0.00013100328
R-HSA-435354,0.0010847286
R-HSA-427589,3.4394034e-05
R-HSA-438064,0.0005445661
R-HSA-5218920,0.0042379685
R-HSA-5218921,0.0007316128
R-HSA-438066,0.001394362
R-HSA-448706,3.148234e-05
R-HSA-9007892,3.501134e-05
R-HSA-9008059,8.798081e-05
R-HSA-9012546,8.245325e-06
R-HSA-9014826,4.4827862e-05
R-HSA-9014843,3.827662e-05
R-HSA-8984722,2.4555533e-05
R-HSA-9020591,2.0367454e-06
R-HSA-9020933,1.9140187e-05
R-HSA-9020956,1.8381632e-05
R-HSA-451306,0.00058066944
R-HSA-500657,3.108805e-05
R-HSA-8983432,1.9371178e-05
R-HSA-8985947,0.00018865477
R-HSA-9020558,4.6158173e-05
R-HSA-9020958,8.508077e-05
R-HSA-912526,0.0003579339
R-HSA-5467340,7.6806e-05
R-HSA-5467345,6.833111e-05
R-HSA-5358747,0.00054264773
R-HSA-5358749,5.668286e-05
R-HSA-5358751,0.0020990765
R-HSA-5358752,0.00011617267
R-HSA-5467333,3.869615e-06
R-HSA-5467337,0.0012900895
R-HSA-5467343,2.1598511e-05
R-HSA-5467348,0.0010419466
R-HSA-912631,2.4250858e-05
R-HSA-901042,0.010391438
R-HSA-549127,0.000121033525
R-HSA-561048,5.7510255e-07
R-HSA-5607761,0.0038275307
R-HSA-5607763,0.0013844622
R-HSA-5660668,0.00015964039
R-HSA-5625886,0.001110009
R-HSA-5637810,0.013987043
R-HSA-1236382,0.0013031
R-HSA-5638303,0.00090374507
R-HSA-5654687,0.17390361
R-HSA-5654696,0.06422639
R-HSA-5654708,0.18179709
R-HSA-5654716,0.018969811
R-HSA-5654726,0.17584838
R-HSA-5654727,0.28326255
R-HSA-5654732,0.67450315
R-HSA-5654733,0.20724337
R-HSA-5658623,0.038289715
R-HSA-6803529,0.20572414
R-HSA-1839128,1.4921059e-05
R-HSA-8853334,0.001950174
R-HSA-8853338,0.005828381
R-HSA-5658442,0.0032094987
R-HSA-5673000,0.0009857131
R-HSA-5674135,0.024538524
R-HSA-5675221,0.0032329774
R-HSA-5218900,0.00050900504
R-HSA-5685942,0.018673345
R-HSA-5685938,0.03665866
R-HSA-5693607,0.0048244963
R-HSA-6799198,0.025823977
R-HSA-844455,0.005939242
R-HSA-844456,0.03687662
R-HSA-844615,4.6188193e-06
R-HSA-844623,0.00032400872
R-HSA-1059683,4.6562847e-05
R-HSA-6788467,0.00031639833
R-HSA-5659996,0.0
R-HSA-6791055,0.0
R-HSA-6791461,0.0
R-HSA-6791462,0.0
R-HSA-8943723,0.00085746945
R-HSA-8943724,0.05367614
R-HSA-8948747,0.052713167
R-HSA-8948751,0.20913805
R-HSA-68616,9.544912e-06
R-HSA-68689,4.9047617e-06
R-HSA-68827,3.0517826e-05
R-HSA-162658,0.025090827
R-HSA-2299718,0.00014829994
R-HSA-2465910,0.0003749228
R-HSA-2500257,0.01255346
R-HSA-2514853,0.0015602073
R-HSA-380320,0.009957169
R-HSA-2470946,0.015913546
R-HSA-69091,0.012559418
R-HSA-69183,0.044382416
R-HSA-187577,0.027374743
R-HSA-69205,0.0015339772
R-HSA-69231,0.04719951
R-HSA-69273,0.0026978971
R-HSA-156711,0.0009734415
R-HSA-2565942,0.01751537
R-HSA-8852276,0.008121711
R-HSA-8854050,0.00061711716
R-HSA-8854518,0.0182162
R-HSA-8854521,0.0
R-HSA-75035,0.0005583274
R-HSA-69563,0.008063928
R-HSA-69610,0.012835972
R-HSA-170822,0.014903834
R-HSA-204174,0.04568426
R-HSA-72662,0.2460737
R-HSA-72689,0.28434938
R-HSA-72695,0.060989615
R-HSA-72702,0.18247952
R-HSA-72706,0.104336254
R-HSA-72731,0.21131766
R-HSA-110330,1.3298919e-08
R-HSA-110331,2.1947677e-07
R-HSA-110328,0.006127602
R-HSA-110329,0.00366205
R-HSA-2393930,0.0057348884
R-HSA-74713,0.027096258
R-HSA-74749,0.029988088
R-HSA-75876,0.058400594
R-HSA-69229,0.03464982
R-HSA-77286,0.024282962
R-HSA-71032,0.0069535417
R-HSA-77288,0.0005782662
R-HSA-877312,1.3711966e-06
R-HSA-6811434,3.1860283e-05
R-HSA-6811436,6.228721e-05
R-HSA-1358803,0.00040185906
R-HSA-8866904,0.00036027282
R-HSA-8866906,0.00018695685
R-HSA-8866907,0.005015169
R-HSA-8866910,0.0011784658
R-HSA-8866911,0.0049520666
R-HSA-8869496,0.0013843375
R-HSA-8874081,0.0070880963
R-HSA-8875513,6.5126536e-05
R-HSA-8875555,0.07505662
R-HSA-8941855,0.0013398037
R-HSA-8941856,0.005962929
R-HSA-8941858,0.0006499579
R-HSA-8949275,0.0009398515
R-HSA-8951430,0.013813353
R-HSA-8951671,0.0016036072
R-HSA-8951911,7.2462663e-06
R-HSA-8951936,0.007464296
R-HSA-8952158,0.0005104668
R-HSA-8939902,0.0012425671
R-HSA-8941326,0.009824649
R-HSA-8941332,0.0023353952
R-HSA-8941333,0.00033489277
R-HSA-8877330,0.00036391924
R-HSA-8931987,0.00043805168
R-HSA-8934593,0.00129247
R-HSA-8935964,0.00029623866
R-HSA-8936459,0.0029140247
R-HSA-8939236,0.00024231046
R-HSA-8939242,0.0002499391
R-HSA-8939243,0.003706108
R-HSA-8939245,0.001928696
R-HSA-8939246,0.00033807836
R-HSA-8939247,0.0005439347
R-HSA-8939256,7.702161e-05
R-HSA-888568,4.9699705e-10
R-HSA-888593,0.0
R-HSA-916853,0.000121610974
R-HSA-9024909,0.15536563
R-HSA-9025046,0.067020975
R-HSA-9026357,0.41174504
R-HSA-9026519,0.02596079
R-HSA-9026527,0.15648632
R-HSA-9028335,0.7504819
R-HSA-9028731,0.010985129
R-HSA-9032500,0.13340668
R-HSA-9032845,0.8939223
R-HSA-9017802,0.0015358845
R-HSA-9018676,0.00040729283
R-HSA-9018681,4.6437071e-07
R-HSA-9018682,0.0005215609
