,R-HSA-8953854,R-HSA-162582,R-HSA-112316,R-HSA-1852241,R-HSA-73894,R-HSA-4839726,R-HSA-109582,R-HSA-382551,R-HSA-1500931,R-HSA-392499,R-HSA-400253,R-HSA-168256,R-HSA-74160,R-HSA-1266738,R-HSA-397014,R-HSA-69306,R-HSA-1474165,R-HSA-1430728,R-HSA-8953897,R-HSA-5357801,R-HSA-1474244,R-HSA-1640170,R-HSA-1643685,R-HSA-5205647,R-HSA-8963743,R-HSA-5653656
GSM1594264,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594347,-0.139,0.08,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.125
GSM1594358,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594483,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594534,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594581,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594582,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594583,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594586,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
GSM1594688,-0.139,0.079,-0.157,-0.123,0.076,-0.086,0.006,-0.191,0.016,0.041,-0.014,-0.095,-0.058,-0.083,0.04,0.112,-0.103,-0.058,-0.11,-0.055,0.035,0.12,0.119,0.066,0.045,-0.126
