,root
R-HSA-8953854,-0.44719684
R-HSA-162582,0.45360962
R-HSA-112316,-0.3769563
R-HSA-1852241,-0.27329385
R-HSA-73894,0.1111642
R-HSA-4839726,-0.6676421
R-HSA-109582,-0.44282997
R-HSA-382551,-0.41909707
R-HSA-1500931,0.00035448518
R-HSA-392499,-0.24201618
R-HSA-400253,0.7221602
R-HSA-168256,-0.39301974
R-HSA-74160,0.03517784
R-HSA-1266738,0.0045969356
R-HSA-397014,-0.03491513
R-HSA-69306,0.22426175
R-HSA-1474165,-0.5851653
R-HSA-1430728,-0.35625866
R-HSA-8953897,-0.09211045
R-HSA-5357801,-0.28212267
R-HSA-1474244,0.23909535
R-HSA-1640170,0.35701653
R-HSA-1643685,0.35445854
R-HSA-5205647,0.629885
R-HSA-8963743,1.2550912
R-HSA-5653656,-0.120921716
