ind,Metabolism of RNA,Signal Transduction,Neuronal System,Organelle biogenesis and maintenance,DNA Repair,Chromatin organization,Hemostasis,Transport of small molecules,Cell-Cell communication,Metabolism of proteins,Circadian Clock,Immune System,Gene expression (Transcription),Developmental Biology,Muscle contraction,DNA Replication,Reproduction,Metabolism,Cellular responses to external stimuli,Programmed Cell Death,Extracellular matrix organization,Cell Cycle,Disease,Mitophagy,Digestion and absorption,Vesicle-mediated transport
GSM1594435,-4.737847e-05,-3.382127e-05,-3.336767e-05,1.6947586e-06,-4.6023956e-06,-2.4245494e-06,-6.0641228e-06,9.957114e-05,-2.9759632e-11,7.862571e-05,-2.4192892e-07,-9.67517e-05,7.344763e-06,-6.615781e-11,-4.144946e-06,7.07901e-07,1.05400195e-05,-7.338126e-06,-5.901989e-07,-6.715621e-06,5.911072e-05,-3.377718e-05,-8.530454e-07,1.2066694e-06,-2.0501416e-06,7.875308e-06
GSM1594439,-4.5647277e-05,-5.018019e-05,-3.2763295e-05,1.7453101e-06,-3.0319156e-06,-3.2726591e-06,-6.853493e-06,9.985638e-05,-1.1279593e-11,8.463236e-05,-2.6095395e-07,-8.0668964e-05,7.675023e-06,-4.2492267e-09,-3.7528869e-06,7.9601296e-07,1.0198039e-05,2.85101e-07,9.818589e-09,-6.22154e-06,6.642502e-05,-2.8304356e-05,-8.752307e-07,1.4049946e-06,-1.8969866e-06,8.956259e-06
GSM1594472,-4.447223e-05,-5.670143e-05,-3.756409e-05,1.6970532e-06,-2.8264724e-06,-1.438081e-06,-5.202471e-06,0.00010468234,-4.7969528e-11,7.91834e-05,-2.8178508e-07,-8.677384e-05,7.2810494e-06,-3.0387601e-09,-4.3570776e-06,8.071175e-07,9.9012295e-06,1.6450964e-06,-1.5133936e-07,-6.569876e-06,6.250123e-05,-2.88453e-05,-1.4732188e-06,1.079167e-06,-1.9368892e-06,1.01242185e-05
GSM1594531,-4.6563146e-05,-4.604673e-05,-3.294816e-05,1.7152582e-06,-3.1105128e-06,-2.024471e-06,-5.6035515e-06,0.00010056186,-4.147232e-11,8.6699685e-05,-2.380888e-07,-9.0589274e-05,7.5170083e-06,-1.5000136e-09,-3.6800698e-06,6.846627e-07,9.943974e-06,1.989856e-06,5.9379534e-08,-6.3495786e-06,6.887725e-05,-3.151559e-05,-9.027309e-09,1.9119866e-06,-2.0407347e-06,6.2801155e-06
GSM1594536,-4.6026114e-05,-3.7875867e-05,-3.0712592e-05,1.707906e-06,-1.7692444e-06,-3.1640461e-06,-5.1932375e-06,9.0441674e-05,-3.163912e-11,6.9210815e-05,-2.4812508e-07,-8.265543e-05,7.553273e-06,-3.9293777e-08,-3.8215553e-06,7.889568e-07,1.1005817e-05,-1.2068946e-06,1.6151382e-07,-6.8136637e-06,6.0393748e-05,-3.1789477e-05,1.5902361e-07,1.9671877e-06,-2.1462536e-06,1.4081719e-05
GSM1594585,-4.5039753e-05,-7.417929e-05,-3.6530102e-05,1.6617389e-06,-2.15151e-06,-3.7179418e-06,-5.0561935e-06,9.944418e-05,-3.837788e-11,7.915067e-05,-2.472923e-07,-7.870763e-05,7.65209e-06,6.960165e-09,-4.670899e-06,7.3449706e-07,9.967408e-06,5.511208e-07,-4.1100316e-07,-6.750372e-06,6.529091e-05,-2.9873649e-05,-1.9534293e-06,1.3487196e-06,-2.0935713e-06,7.949507e-06
GSM1594588,-4.442497e-05,-4.8989095e-05,-3.4113527e-05,1.7467655e-06,-3.0710846e-06,-2.6672994e-06,-5.7162492e-06,0.00010070441,-1.1853449e-11,8.360407e-05,-2.7640777e-07,-7.9378224e-05,7.821598e-06,-2.498228e-08,-3.7862603e-06,8.102463e-07,1.0860641e-05,-1.3983302e-07,1.3156146e-07,-6.917414e-06,6.269079e-05,-2.9454688e-05,-1.4477052e-06,9.2674577e-07,-2.512106e-06,9.621846e-06
GSM1594598,-4.496715e-05,-6.19076e-05,-3.5375582e-05,1.7743613e-06,-2.1491078e-06,-2.4616108e-06,-5.8418664e-06,0.000101121565,-1.6251896e-11,7.55629e-05,-2.6268978e-07,-7.8868215e-05,7.831885e-06,-3.0659056e-08,-3.6845843e-06,7.713011e-07,1.0552255e-05,-1.4636842e-06,-2.029974e-08,-6.7242627e-06,6.472178e-05,-2.9853416e-05,-1.5971276e-06,1.5371205e-06,-2.2390711e-06,1.0185093e-05
GSM1594639,-4.6250567e-05,-3.3529806e-05,-3.3888216e-05,1.600791e-06,-2.1440221e-06,-2.888255e-06,-5.083649e-06,0.0001056441,-5.909034e-11,8.450383e-05,-3.719376e-07,-7.909929e-05,7.071291e-06,-2.4168946e-08,-4.3871464e-06,8.095466e-07,1.2722619e-05,7.480927e-06,2.3068038e-08,-6.7585293e-06,5.7021563e-05,-2.7942875e-05,-1.922412e-08,1.6166626e-06,-1.8088625e-06,9.347765e-06
GSM1594676,-4.4694065e-05,-2.790852e-05,-3.1539348e-05,1.620897e-06,-2.566668e-06,-3.6785973e-06,-4.5999263e-06,0.00010638427,-5.824404e-11,7.994116e-05,-2.9260616e-07,-7.3713876e-05,7.436918e-06,-1.685868e-08,-4.302908e-06,8.3354166e-07,1.0925192e-05,8.447004e-06,-3.8496953e-08,-7.1115824e-06,6.254903e-05,-2.8521268e-05,-2.0559166e-06,8.87234e-07,-2.0091336e-06,9.41558e-06
GSM1594796,-4.672166e-05,-2.5421803e-05,-3.6043853e-05,1.6390221e-06,-3.6612582e-06,-1.9551155e-06,-5.3318868e-06,0.0001083405,-2.4480121e-11,9.086634e-05,-2.260055e-07,-9.350396e-05,7.5781572e-06,-1.4907599e-08,-3.5464097e-06,7.251195e-07,1.1320542e-05,2.517713e-06,-1.400152e-07,-7.016995e-06,6.381419e-05,-3.163071e-05,1.245138e-08,7.2816397e-07,-2.0882014e-06,9.943923e-06
GSM1594807,-4.7914717e-05,-6.865325e-05,-3.583273e-05,1.6581824e-06,-3.394917e-06,-3.1906352e-06,-4.7437484e-06,0.0001057485,1.1118942e-11,8.039361e-05,-2.6499472e-07,-8.163359e-05,7.5754065e-06,5.6492726e-09,-4.124078e-06,7.319274e-07,1.0517634e-05,2.1059766e-06,-2.7662026e-07,-6.3941047e-06,5.779421e-05,-2.7917755e-05,-1.3375937e-06,1.145921e-06,-2.0138123e-06,1.0312757e-05
GSM1594841,-4.5809382e-05,-6.828898e-05,-3.349955e-05,1.7313329e-06,-4.848103e-06,-2.60977e-06,-5.1184124e-06,0.00010609866,-5.954901e-11,8.163693e-05,-2.8155873e-07,-8.807251e-05,7.767464e-06,-1.4991597e-08,-4.3200184e-06,8.527167e-07,1.0620219e-05,2.3492798e-06,-8.4806056e-09,-6.710215e-06,6.610674e-05,-2.7275019e-05,-7.861024e-07,8.0682173e-07,-2.4763492e-06,5.5510036e-06
GSM1594884,-4.500161e-05,-4.4520824e-05,-3.5179906e-05,1.5859819e-06,-4.2683137e-06,-2.1542553e-06,-4.5129127e-06,0.00010561843,-3.5302587e-11,8.169321e-05,-2.968805e-07,-8.0645055e-05,7.225295e-06,6.585011e-09,-4.480475e-06,7.325504e-07,1.0293808e-05,2.3021748e-06,-7.426563e-08,-6.7864507e-06,6.087757e-05,-2.9740779e-05,-1.1691338e-06,1.1000192e-06,-2.1548694e-06,6.8470154e-06
GSM1594964,-4.692483e-05,-4.685306e-05,-3.297248e-05,1.5162275e-06,-5.137925e-06,-2.5075128e-06,-5.5950663e-06,0.000103300925,-5.294239e-11,7.601952e-05,-3.0144372e-07,-9.04414e-05,7.607578e-06,8.120832e-09,-3.8990497e-06,7.1764106e-07,1.055388e-05,7.158017e-07,-1.193477e-07,-6.7156257e-06,5.736095e-05,-3.0781193e-05,-1.2915268e-06,9.3922057e-07,-2.023232e-06,6.046357e-06
GSM1595079,-4.6269517e-05,-4.1795454e-05,-3.4308825e-05,1.5393888e-06,-1.1938943e-06,-3.2311552e-06,-5.88205e-06,9.758187e-05,8.18558e-12,8.985606e-05,-2.7946228e-07,-7.910744e-05,7.1967384e-06,1.8191907e-08,-4.0046284e-06,6.7785186e-07,1.0603911e-05,4.3319783e-06,-1.2453745e-07,-6.4708192e-06,6.141837e-05,-2.8237233e-05,-5.881885e-07,9.389026e-07,-2.3815116e-06,9.947375e-06
GSM1595148,-4.370598e-05,-4.3148142e-05,-3.322326e-05,1.6469829e-06,-2.858688e-06,-2.5993024e-06,-5.699402e-06,0.000108738095,-3.8147784e-12,7.643225e-05,-2.924386e-07,-8.5118794e-05,7.2808975e-06,-2.6149337e-08,-3.7267625e-06,7.511881e-07,1.2491846e-05,6.7907663e-06,1.4494175e-07,-7.3474707e-06,6.217491e-05,-2.8277833e-05,-5.0972915e-07,6.1056556e-07,-2.4922203e-06,8.98645e-06
GSM1595164,-4.5107296e-05,-3.5570465e-05,-3.2471522e-05,1.6058231e-06,-3.5620733e-06,-2.6351752e-06,-5.78033e-06,0.00010525851,-9.896969e-13,7.0673486e-05,-3.0488113e-07,-8.598307e-05,7.43637e-06,-1.6677271e-08,-3.6490856e-06,7.817587e-07,1.1522062e-05,5.092884e-06,1.1021387e-07,-6.6877346e-06,6.529102e-05,-2.9828314e-05,-8.9518426e-07,5.9892665e-07,-2.2045942e-06,9.657808e-06
GSM1595181,-4.466075e-05,-4.8811067e-05,-3.4841134e-05,1.6494889e-06,-2.9933208e-06,-3.072313e-06,-5.372214e-06,0.00010179552,-3.424374e-11,7.8688594e-05,-2.6636263e-07,-8.651845e-05,7.6134875e-06,-2.5594586e-08,-4.074484e-06,7.394401e-07,1.05066865e-05,-1.9767327e-07,3.397415e-08,-6.8759714e-06,6.204446e-05,-3.215333e-05,-1.0940195e-06,8.770119e-07,-2.206431e-06,9.138752e-06
