,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
TDRD7,0.0,0.0,0.0,-0.11236727,0.20280498
RPL13,6.6673256e-06,12.0,6.6673256e-06,-0.053563576,-1.6463469
YES1,9.047024e-06,9.0,9.047024e-06,-0.03257539,-1.1568832
FAM3A,0.0,0.0,0.0,-0.11236727,0.20280498
TMEM14B,0.0,0.0,0.0,-0.11236727,0.20280498
P2RY8,0.0,0.0,0.0,-0.11236727,0.20280498
IFITM3,0.0,0.0,0.0,-0.11236727,0.20280498
CUL7,3.1717832e-07,3.0,3.1717832e-07,-0.10956986,-0.26854703
GATC,0.0,0.0,0.0,-0.11236727,0.20280498
PDCD2,0.0,0.0,0.0,-0.11236727,0.20280498
SNRNP48,1.0003379e-06,1.0,1.0003379e-06,-0.103544615,0.0516957
CDKL1,0.0,0.0,0.0,-0.11236727,0.20280498
RHOBTB1,7.026761e-11,1.0,7.026761e-11,-0.11236666,0.044978086
THAP5,0.0,0.0,0.0,-0.11236727,0.20280498
VTA1,1.4111439e-06,2.0,1.4111439e-06,-0.099921435,-0.1033728
FARS2,3.4789787e-06,1.0,3.4789787e-06,-0.08168379,0.0683418
GMEB2,0.0,0.0,0.0,-0.11236727,0.20280498
APP,7.650509e-06,9.0,7.650509e-06,-0.04489221,-1.166262
KLHL1,0.0,0.0,0.0,-0.11236727,0.20280498
CUL4A,1.2299458e-05,8.0,1.2299458e-05,-0.0038899565,-0.977213
LRBA,0.0,0.0,0.0,-0.11236727,0.20280498
RPS25,8.9493566e-05,15.0,8.9493566e-05,0.6769376,-1.5635833
SPTY2D1,0.0,0.0,0.0,-0.11236727,0.20280498
CDIP1,0.0,0.0,0.0,-0.11236727,0.20280498
INTS4,1.4026274e-07,1.0,1.4026274e-07,-0.1111302,0.045919597
AGBL5,3.388866e-07,1.0,3.388866e-07,-0.1093784,0.047253516
CBWD3,0.0,0.0,0.0,-0.11236727,0.20280498
ZCWPW1,0.0,0.0,0.0,-0.11236727,0.20280498
RNH1,0.0,0.0,0.0,-0.11236727,0.20280498
SLC43A1,4.2739625e-06,1.0,4.2739625e-06,-0.07467228,0.073680766
ZNF768,0.0,0.0,0.0,-0.11236727,0.20280498
CAPN10,0.0,0.0,0.0,-0.11236727,0.20280498
OR5AP2,6.175238e-08,1.0,6.175238e-08,-0.11182264,0.045392327
ARL17A,0.0,0.0,0.0,-0.11236727,0.20280498
COX17,1.416716e-05,1.0,1.416716e-05,0.012582582,0.14012165
LACTB,0.0,0.0,0.0,-0.11236727,0.20280498
FLAD1,1.3615058e-08,1.0,1.3615058e-08,-0.11224719,0.045069054
NMRK1,0.0,0.0,0.0,-0.11236727,0.20280498
PANX1,5.6163865e-09,2.0,5.6163865e-09,-0.11231774,-0.11281206
TMEM147,0.0,0.0,0.0,-0.11236727,0.20280498
TTC33,0.0,0.0,0.0,-0.11236727,0.20280498
DIS3,1.5062903e-07,4.0,1.5062903e-07,-0.11103878,-0.42749295
CARD11,8.399466e-08,3.0,8.399466e-08,-0.11162647,-0.27011308
PKN2,0.0,0.0,0.0,-0.11236727,0.20280498
GRB7,1.7787293e-05,4.0,1.7787293e-05,0.044511013,-0.30904832
GATAD2B,4.5732113e-06,4.0,4.5732113e-06,-0.072033,-0.39779168
FAM136A,0.0,0.0,0.0,-0.11236727,0.20280498
PYGB,4.0242535e-06,2.0,4.0242535e-06,-0.076874636,-0.08582362
MYC,5.8339854e-05,14.0,5.8339854e-05,0.40217176,-1.6149787
RMND1,0.0,0.0,0.0,-0.11236727,0.20280498
LYAR,0.0,0.0,0.0,-0.11236727,0.20280498
ARMC1,0.0,0.0,0.0,-0.11236727,0.20280498
TMEM79,0.0,0.0,0.0,-0.11236727,0.20280498
ZNF266,0.0,0.0,0.0,-0.11236727,0.20280498
HIST1H3B,0.0,0.0,0.0,-0.11236727,0.20280498
DEFB114,8.707061e-09,1.0,8.707061e-09,-0.11229048,0.045036092
FAM209B,0.0,0.0,0.0,-0.11236727,0.20280498
DNASE1L1,1.4762471e-09,1.0,1.4762471e-09,-0.112354256,0.04498753
SORBS3,5.161999e-08,1.0,5.161999e-08,-0.111912005,0.04532429
