,root
R-HSA-8953854,-0.2610961
R-HSA-1474165,1.6354803
R-HSA-392499,-0.3897741
R-HSA-1474244,-0.26434624
R-HSA-8963743,0.14336587
R-HSA-73894,-0.1662786
R-HSA-1640170,-0.4269944
R-HSA-74160,-0.4264846
R-HSA-168256,0.025729297
R-HSA-5653656,-0.0003500737
R-HSA-5205647,-0.00942907
R-HSA-1852241,-0.4051964
R-HSA-162582,-0.46954945
R-HSA-397014,-0.049663223
R-HSA-112316,-0.011870532
R-HSA-4839726,0.20341289
R-HSA-8953897,-0.62362283
R-HSA-400253,-0.35081807
R-HSA-109582,-0.12386586
R-HSA-5357801,-0.9985153
R-HSA-382551,0.227819
R-HSA-1643685,0.41652495
R-HSA-69306,0.3291201
R-HSA-1430728,0.35766697
R-HSA-1266738,0.48419684
R-HSA-1500931,-0.12450274
